polarity,segment,count,calibration_delta_probability,roi_pct,hit_rate_pct,avg_predicted_probability
positive,league:preferred,19,0.0312,18.26,52.63,0.4951
negative,family:totals,13,-0.225,-26.46,30.77,0.5327
negative,market:totals:under,13,-0.225,-26.46,30.77,0.5327
negative,league:secondary,15,-0.2175,-36.47,26.67,0.4841
negative,odds:1.70-2.04,8,-0.1994,-30.63,37.5,0.5744
negative,prob:40-45,9,-0.0983,-18.0,33.33,0.4317
negative,family:btts,12,-0.0809,-13.5,41.67,0.4975
negative,market:btts:yes,11,-0.0485,-5.64,45.45,0.503
negative,context:ensemble,18,-0.0476,2.5,44.44,0.492
negative,bookmaker:bet365,28,-0.0362,7.82,46.43,0.5005
negative,context:clubelo,17,-0.0252,9.88,47.06,0.4958
negative,prob:45-50,11,-0.0167,7.09,45.45,0.4712
negative,odds:2.05-2.74,25,-0.0062,11.96,48.0,0.4862
