# Provider day discovery inventory merge
status: ok
inventory_path: .data/day_inventory/2026-05-18.json
aliases_written: .data/day_inventory/2026-05-18.json, .data/day_inventory/latest.json, .data/day_inventory/current.json, .data/day_inventory/today.json
canonical_rows_seen: 205
full_pool_used: True
matched_existing: 180
appended: 25
inventory_matches_after: 255

## Updated sample
- matched_existing score=1.0 | Albion FC — Wanderers | providers=sstats context=None odds=None
- matched_existing score=1.0 | Anápolis — Barra | providers=sstats context=None odds=None
- matched_existing score=1.0 | Brooke House W — Miami AC W | providers=sstats context=None odds=None
- matched_existing score=1.0 | Estudiantes de Merida FC — Carabobo FC | providers=sstats context=None odds=None
- matched_existing score=1.0 | Independência — Araguaína | providers=sstats context=None odds=None
- matched_existing score=1.0 | Matiguás — UNAN Managua | providers=sstats context=None odds=None
- matched_existing score=1.0 | Naples — Sporting JAX | providers=sstats context=None odds=None
- matched_existing score=1.0 | Olympia W — Bigfoot W | providers=sstats context=None odds=None
- matched_existing score=1.0 | Pacific FC — York United | providers=sstats context=None odds=None
- matched_existing score=1.0 | Patuxent W — Eagle FC W | providers=sstats context=None odds=None
- matched_existing score=1.0 | Santos W — RB Bragantino W | providers=sstats context=None odds=None
- matched_existing score=1.0 | Sao Raimundo — Manaus FC | providers=sstats context=None odds=None
- matched_existing score=1.0 | Union Omaha — Louisville City | providers=sstats context=None odds=None
- matched_existing score=1.0 | Vila Nova FC — Avaí | providers=sstats context=None odds=None
- matched_existing score=1.0 | West Seattle Rhodies W — Snohomish United W | providers=sstats context=None odds=None
- matched_existing score=0.9594 | Santamarina — Olimpo Bahia Blanca | providers=sstats context=None odds=None
- matched_existing score=0.8729 | Red Bull Bragantino SP — EC Vitoria BA | providers=sstats context=None odds=None
- matched_existing score=0.945 | Guarani Campinas — Ituano | providers=sstats context=None odds=None
- matched_existing score=0.9732 | Chapecoense SC — Clube do Remo PA | providers=sstats context=None odds=None
- matched_existing score=0.9299 | Ceara SC CE — Fortaleza EC CE | providers=sstats context=None odds=None
- matched_existing score=1.0 | San Marcos de Arica — CD Antofagasta | providers=sstats context=None odds=None
- matched_existing score=1.0 | Colo-Colo — Nublense | providers=sstats context=None odds=None
- matched_existing score=1.0 | Criciúma — Atlético Goianiense | providers=sstats context=None odds=None
- matched_existing score=0.9732 | Portuguesa FC — Academia Puerto Cabello | providers=sstats context=None odds=None
- matched_existing score=1.0 | Barranquilla FC — Union Magdalena | providers=sstats context=None odds=None
- matched_existing score=1.0 | Inter San Carlos — Adr Jicaral | providers=sstats context=None odds=None
- matched_existing score=1.0 | Cavalier FC — Montego Bay United | providers=sstats context=None odds=None
- matched_existing score=1.0 | Inter Miami CF — Portland Timbers | providers=sstats context=None odds=None
- matched_existing score=0.9732 | Lakeland United FC Usl 2 — Miami AC | providers=sstats context=None odds=None
- matched_existing score=1.0 | Carolina Ascent II W — Tormenta W | providers=sstats context=None odds=None
- matched_existing score=1.0 | Charlottesville Blues W — Norfolk W | providers=sstats context=None odds=None
- matched_existing score=1.0 | Portland Thorns W — Angel City W | providers=sstats context=None odds=None
- matched_existing score=1.0 | Metropolitanos FC — Deportivo Tachira | providers=sstats context=None odds=None
- matched_existing score=0.945 | Atletico Paranaense — Flamengo | providers=sstats context=None odds=None
- matched_existing score=1.0 | Port City FC — North Carolina FC | providers=sstats context=None odds=None
- matched_existing score=0.9609 | New York RB II — New York City II | providers=sstats context=None odds=None
- matched_existing score=0.9609 | Vancouver Whitecaps II — Tacoma Defiance | providers=sstats context=None odds=None
- matched_existing score=0.9476 | Marin FC Siren W — Monterey Bay FC W | providers=sstats context=None odds=None
- matched_existing score=0.9845 | FC Cincinnati 2 — Chattanooga FC | providers=sstats context=None odds=None
- matched_existing score=1.0 | Spokane Velocity FC — Las Vegas Lights | providers=sstats context=None odds=None
- matched_existing score=1.0 | San Francisco City — Davis Legacy | providers=sstats context=None odds=None
- matched_existing score=1.0 | Wake FC — Tobacco Road FC | providers=sstats context=None odds=None
- matched_existing score=0.9915 | FC Miami City — Fort Lauderdale United FC II | providers=sstats context=None odds=None
- matched_existing score=1.0 | Leo Victor — Broki | providers=sstats context=None odds=None
- matched_existing score=0.9732 | Manta FC — CS Emelec | providers=sstats context=None odds=None
- matched_existing score=0.9377 | Guabira Montero — CA Nacional Potosi | providers=sstats context=None odds=None
- matched_existing score=1.0 | Evergreen — Virginia Beach City | providers=sstats context=None odds=None
- matched_existing score=1.0 | Sport Recife — CRB | providers=sstats context=None odds=None
- matched_existing score=1.0 | Club Oriental de Football — La Luz FC | providers=sstats context=None odds=None
- matched_existing score=1.0 | Nashville SC — Los Angeles FC | providers=bzzoiro,sstats context=2 odds=None
