match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata
soccer|keilor park|werribee city|2026-04-10,odds_api_io,68161626,soccer,Australia - Victoria Premier League 2,Keilor Park SC,Werribee City FC,2026-04-10T09:45:00+00:00,mid,"{""competition"": ""Australia - Victoria Premier League 2"", ""odds_api_io_id"": 68161626, ""raw_event"": {""away"": ""Werribee City FC"", ""awayId"": 142728, ""date"": ""2026-04-10T09:45:00Z"", ""home"": ""Keilor Park SC"", ""homeId"": 364600, ""id"": 68161626, ""league"": {""name"": ""Australia - Victoria Premier League 2"", ""slug"": ""australia-victoria-premier-league-2""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|polissya zhytomyr|poltava|2026-04-10,odds_api_io,61651572,soccer,Ukraine - Premier League,SC Poltava,FC Polissya Zhytomyr,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Ukraine - Premier League"", ""odds_api_io_id"": 61651572, ""raw_event"": {""away"": ""FC Polissya Zhytomyr"", ""awayId"": 350828, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""SC Poltava"", ""homeId"": 586811, ""id"": 61651572, ""league"": {""name"": ""Ukraine - Premier League"", ""slug"": ""ukraine-premier-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|pfc dobrudzha dobrich|spartak 1918 varna|2026-04-10,odds_api_io,63465925,soccer,Bulgaria - Parva Liga,FK Spartak 1918 Varna,PFC Dobrudzha Dobrich,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Bulgaria - Parva Liga"", ""odds_api_io_id"": 63465925, ""raw_event"": {""away"": ""PFC Dobrudzha Dobrich"", ""awayId"": 5242, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""FK Spartak 1918 Varna"", ""homeId"": 3278, ""id"": 63465925, ""league"": {""name"": ""Bulgaria - Parva Liga"", ""slug"": ""bulgaria-parva-liga""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|acs inainte modelu|csl stefanestii jos|2026-04-10,odds_api_io,70384536,soccer,Romania - Liga 3,Csl Stefanestii de Jos,ACS Inainte Modelu,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Romania - Liga 3"", ""odds_api_io_id"": 70384536, ""raw_event"": {""away"": ""ACS Inainte Modelu"", ""awayId"": 227114, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""Csl Stefanestii de Jos"", ""homeId"": 1032081, ""id"": 70384536, ""league"": {""name"": ""Romania - Liga 3"", ""slug"": ""romania-liga-3""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|asc unirea branistea|cs paulesti|2026-04-10,odds_api_io,70384948,soccer,Romania - Liga 3,ASC Unirea Branistea,CS Paulesti,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Romania - Liga 3"", ""odds_api_io_id"": 70384948, ""raw_event"": {""away"": ""CS Paulesti"", ""awayId"": 288581, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""ASC Unirea Branistea"", ""homeId"": 912431, ""id"": 70384948, ""league"": {""name"": ""Romania - Liga 3"", ""slug"": ""romania-liga-3""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|incheon hyundai steel red angels|seoul city wfc|2026-04-10,odds_api_io,69976212,soccer,Republic of Korea - WK-League,Incheon Hyundai Steel Red Angels,Seoul City WFC,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Republic of Korea - WK-League"", ""odds_api_io_id"": 69976212, ""raw_event"": {""away"": ""Seoul City WFC"", ""awayId"": 195552, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""Incheon Hyundai Steel Red Angels"", ""homeId"": 168128, ""id"": 69976212, ""league"": {""name"": ""Republic of Korea - WK-League"", ""slug"": ""republic-of-korea-wk-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|gyeongju|sejong sportstoto wfc|2026-04-10,odds_api_io,69976214,soccer,Republic of Korea - WK-League,Gyeongju FC,Sejong Sportstoto WFC,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Republic of Korea - WK-League"", ""odds_api_io_id"": 69976214, ""raw_event"": {""away"": ""Sejong Sportstoto WFC"", ""awayId"": 195556, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""Gyeongju FC"", ""homeId"": 327287, ""id"": 69976214, ""league"": {""name"": ""Republic of Korea - WK-League"", ""slug"": ""republic-of-korea-wk-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|hwacheon kspo|suwon wfc|2026-04-10,odds_api_io,69976216,soccer,Republic of Korea - WK-League,Suwon WFC,Hwacheon KSPO FC,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Republic of Korea - WK-League"", ""odds_api_io_id"": 69976216, ""raw_event"": {""away"": ""Hwacheon KSPO FC"", ""awayId"": 195558, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""Suwon WFC"", ""homeId"": 195554, ""id"": 69976216, ""league"": {""name"": ""Republic of Korea - WK-League"", ""slug"": ""republic-of-korea-wk-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|almaz antey youth|fakel voronezh youth|2026-04-10,odds_api_io,68849454,soccer,Russia - Youth League,Almaz Antey Youth,FC Fakel Voronezh Youth,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Russia - Youth League"", ""odds_api_io_id"": 68849454, ""raw_event"": {""away"": ""FC Fakel Voronezh Youth"", ""awayId"": 918117, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""Almaz Antey Youth"", ""homeId"": 1232185, ""id"": 68849454, ""league"": {""name"": ""Russia - Youth League"", ""slug"": ""russia-youth-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|football academy of konoplev|zenit saint petersburg|2026-04-10,odds_api_io,68849468,soccer,Russia - Youth League,FK Zenit St. Petersburg,Football Academy Of Konoplev,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Russia - Youth League"", ""odds_api_io_id"": 68849468, ""raw_event"": {""away"": ""Football Academy Of Konoplev"", ""awayId"": 354946, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""FK Zenit St. Petersburg"", ""homeId"": 49723, ""id"": 68849468, ""league"": {""name"": ""Russia - Youth League"", ""slug"": ""russia-youth-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|mounties wanderers|sydney university sfc|2026-04-10,odds_api_io,67692164,soccer,Australia - NSW League Two,Mounties Wanderers FC,Sydney University SFC,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Australia - NSW League Two"", ""odds_api_io_id"": 67692164, ""raw_event"": {""away"": ""Sydney University SFC"", ""awayId"": 321519, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""Mounties Wanderers FC"", ""homeId"": 245675, ""id"": 67692164, ""league"": {""name"": ""Australia - NSW League Two"", ""slug"": ""australia-nsw-league-two""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|barossa united|port adelaide pirates|2026-04-10,odds_api_io,68049130,soccer,Australia - South Australia State League 2,Port Adelaide Pirates,Barossa United,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Australia - South Australia State League 2"", ""odds_api_io_id"": 68049130, ""raw_event"": {""away"": ""Barossa United"", ""awayId"": 1319312, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""Port Adelaide Pirates"", ""homeId"": 188105, ""id"": 68049130, ""league"": {""name"": ""Australia - South Australia State League 2"", ""slug"": ""australia-south-australia-state-league-2""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|inter lions|prospect united|2026-04-10,odds_api_io,67691512,soccer,Australia - NSW League One,Prospect United,Inter Lions FC,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Australia - NSW League One"", ""odds_api_io_id"": 67691512, ""raw_event"": {""away"": ""Inter Lions FC"", ""awayId"": 312452, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""Prospect United"", ""homeId"": 317837, ""id"": 67691512, ""league"": {""name"": ""Australia - NSW League One"", ""slug"": ""australia-nsw-league-one""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|adelaide croatia raiders|cumberland united|2026-04-10,odds_api_io,68051550,soccer,Australia - South Australia State League 1,Adelaide Croatia Raiders SC,Cumberland United,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Australia - South Australia State League 1"", ""odds_api_io_id"": 68051550, ""raw_event"": {""away"": ""Cumberland United"", ""awayId"": 90880, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""Adelaide Croatia Raiders SC"", ""homeId"": 90888, ""id"": 68051550, ""league"": {""name"": ""Australia - South Australia State League 1"", ""slug"": ""australia-south-australia-state-league-1""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|cong an tp ho chi minh city|pvf cand b|2026-04-10,odds_api_io,68663986,soccer,Vietnam - V-League 2,Cong An Tp Ho Chi Minh City FC,PVF Cand B,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Vietnam - V-League 2"", ""odds_api_io_id"": 68663986, ""raw_event"": {""away"": ""PVF Cand B"", ""awayId"": 1244708, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""Cong An Tp Ho Chi Minh City FC"", ""homeId"": 596842, ""id"": 68663986, ""league"": {""name"": ""Vietnam - V-League 2"", ""slug"": ""vietnam-v-league-2""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|new lambton|south cardiff|2026-04-10,odds_api_io,67807544,soccer,Australia - Northern NSW League One,New Lambton FC,South Cardiff FC,2026-04-10T10:00:00+00:00,mid,"{""competition"": ""Australia - Northern NSW League One"", ""odds_api_io_id"": 67807544, ""raw_event"": {""away"": ""South Cardiff FC"", ""awayId"": 136230, ""date"": ""2026-04-10T10:00:00Z"", ""home"": ""New Lambton FC"", ""homeId"": 431877, ""id"": 67807544, ""league"": {""name"": ""Australia - Northern NSW League One"", ""slug"": ""australia-northern-nsw-league-one""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|noarlunga united|western strikers|2026-04-10,odds_api_io,68049368,soccer,Australia - South Australia State League 2,Western Strikers,Noarlunga United,2026-04-10T10:15:00+00:00,mid,"{""competition"": ""Australia - South Australia State League 2"", ""odds_api_io_id"": 68049368, ""raw_event"": {""away"": ""Noarlunga United"", ""awayId"": 424613, ""date"": ""2026-04-10T10:15:00Z"", ""home"": ""Western Strikers"", ""homeId"": 90892, ""id"": 68049368, ""league"": {""name"": ""Australia - South Australia State League 2"", ""slug"": ""australia-south-australia-state-league-2""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|blacktown spartans|northern tigers|2026-04-10,odds_api_io,67691514,soccer,Australia - NSW League One,Blacktown Spartans,Northern Tigers,2026-04-10T10:15:00+00:00,mid,"{""competition"": ""Australia - NSW League One"", ""odds_api_io_id"": 67691514, ""raw_event"": {""away"": ""Northern Tigers"", ""awayId"": 390314, ""date"": ""2026-04-10T10:15:00Z"", ""home"": ""Blacktown Spartans"", ""homeId"": 92206, ""id"": 67691514, ""league"": {""name"": ""Australia - NSW League One"", ""slug"": ""australia-nsw-league-one""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|new town eagles|olympia warriors hobart|2026-04-10,odds_api_io,68686492,soccer,Australia - Tasmania Southern Championship,Olympia Warriors Hobart,New Town Eagles SC,2026-04-10T10:15:00+00:00,mid,"{""competition"": ""Australia - Tasmania Southern Championship"", ""odds_api_io_id"": 68686492, ""raw_event"": {""away"": ""New Town Eagles SC"", ""awayId"": 424561, ""date"": ""2026-04-10T10:15:00Z"", ""home"": ""Olympia Warriors Hobart"", ""homeId"": 135962, ""id"": 68686492, ""league"": {""name"": ""Australia - Tasmania Southern Championship"", ""slug"": ""australia-tasmania-southern-championship""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|burnie united|ulverstone 2|2026-04-10,odds_api_io,70395768,soccer,Australia - Tasmania Northern Championship,Ulverstone SC 2,Burnie United,2026-04-10T10:15:00+00:00,mid,"{""competition"": ""Australia - Tasmania Northern Championship"", ""odds_api_io_id"": 70395768, ""raw_event"": {""away"": ""Burnie United"", ""awayId"": 415407, ""date"": ""2026-04-10T10:15:00Z"", ""home"": ""Ulverstone SC 2"", ""homeId"": 782290, ""id"": 70395768, ""league"": {""name"": ""Australia - Tasmania Northern Championship"", ""slug"": ""australia-tasmania-northern-championship""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|launceston city|launceston united|2026-04-10,odds_api_io,68680024,soccer,Australia - Tasmania NPL,Launceston United SC,Launceston City FC,2026-04-10T10:15:00+00:00,mid,"{""competition"": ""Australia - Tasmania NPL"", ""odds_api_io_id"": 68680024, ""raw_event"": {""away"": ""Launceston City FC"", ""awayId"": 135958, ""date"": ""2026-04-10T10:15:00Z"", ""home"": ""Launceston United SC"", ""homeId"": 440148, ""id"": 68680024, ""league"": {""name"": ""Australia - Tasmania NPL"", ""slug"": ""australia-tasmania-npl""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
soccer|brunswick juventus|langwarrin|2026-04-10,odds_api_io,68160480,soccer,Australia - Victoria Premier League 1,Brunswick Juventus FC,Langwarrin SC,2026-04-10T10:30:00+00:00,mid,"{""competition"": ""Australia - Victoria Premier League 1"", ""odds_api_io_id"": 68160480, ""raw_event"": {""away"": ""Langwarrin SC"", ""awayId"": 364592, ""date"": ""2026-04-10T10:30:00Z"", ""home"": ""Brunswick Juventus FC"", ""homeId"": 388184, ""id"": 68160480, ""league"": {""name"": ""Australia - Victoria Premier League 1"", ""slug"": ""australia-victoria-premier-league-1""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}"
