segment,count,wins,losses,stake,pnl,roi_pct,hit_rate_pct,avg_odds,avg_predicted_probability,hit_rate_probability,calibration_delta_probability,brier_score
bookmaker:bet365,2,2,0,2.0,1.96,98.0,100.0,1.979,0.5492,1.0,0.4508,0.20609
bookmaker:unibet,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
context:bzzoiro,1,1,0,1.0,0.91,91.0,100.0,1.909,0.6028,1.0,0.3972,0.15777
context:ensemble,2,2,0,2.0,2.15,107.5,100.0,2.075,0.4989,1.0,0.5011,0.25116
family:btts,2,2,0,2.0,1.96,98.0,100.0,1.979,0.5492,1.0,0.4508,0.20609
family:teamTotals,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
league:other,1,1,0,1.0,0.91,91.0,100.0,1.909,0.6028,1.0,0.3972,0.15777
league:preferred,2,2,0,2.0,2.15,107.5,100.0,2.075,0.4989,1.0,0.5011,0.25116
market:btts:yes,2,2,0,2.0,1.96,98.0,100.0,1.979,0.5492,1.0,0.4508,0.20609
market:teamTotals:under,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
odds:1.70-2.04,1,1,0,1.0,0.91,91.0,100.0,1.909,0.6028,1.0,0.3972,0.15777
odds:2.05-2.74,2,2,0,2.0,2.15,107.5,100.0,2.075,0.4989,1.0,0.5011,0.25116
prob:45-50,1,1,0,1.0,1.05,105.0,100.0,2.05,0.4956,1.0,0.5044,0.25442
prob:50-55,1,1,0,1.0,1.1,110.0,100.0,2.1,0.5021,1.0,0.4979,0.2479
prob:60-65,1,1,0,1.0,0.91,91.0,100.0,1.909,0.6028,1.0,0.3972,0.15777
