polarity,segment,count,calibration_delta_probability,roi_pct,hit_rate_pct,avg_predicted_probability
positive,league:preferred,12,0.1912,54.0,66.67,0.4754
positive,context:clubelo,13,0.0485,27.15,53.85,0.4899
positive,prob:45-50,10,0.027,17.8,50.0,0.473
negative,league:secondary,14,-0.2006,-31.93,28.57,0.4863
negative,family:btts,10,-0.0893,-14.6,40.0,0.4893
negative,context:ensemble,13,-0.088,-11.69,38.46,0.4726
negative,prob:40-45,8,-0.0595,-7.75,37.5,0.4345
negative,market:btts:yes,9,-0.0507,-5.11,44.44,0.4951
negative,bookmaker:bet365,21,-0.0112,9.1,47.62,0.4874
negative,odds:2.05-2.74,21,-0.0013,11.71,47.62,0.4775
