match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|ad cabofriense rj|audax rio rj|2026-05-30,day_inventory,70886070,soccer,"Brazil - Carioca, Serie A2",AD Cabofriense RJ,Audax Rio EC RJ,2026-05-30T17:45:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""70886070""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|ad cabofriense rj|audax rio ec rj"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,spreads,AD Cabofriense RJ,home,home,-1.5,,Betfair Exchange,odds_api_io,52.57,67.39,79.65,,,73.69,,,xg_spread,222.597,1.485,1.228,,ensemble,,insufficient_history,,,,,,
soccer|bonsucesso rj|perolas negras rj|2026-05-30,day_inventory,70886066,soccer,"Brazil - Carioca, Serie A2",Bonsucesso FC RJ,Perolas Negras RJ,2026-05-30T17:45:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""70886066""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|bonsucesso rj|perolas negras rj"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,spreads,Bonsucesso FC RJ,home,home,-1.5,,Bet365,odds_api_io,52.78,27.33,21.43,,,65.38,,,xg_spread,49.785,1.223,0.945,,ensemble,,insufficient_history,,,,,,
soccer|olaria rj|resende rj|2026-05-30,day_inventory,70886072,soccer,"Brazil - Carioca, Serie A2",Olaria RJ,Resende FC RJ,2026-05-30T17:45:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""70886072""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|olaria rj|resende rj"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,spreads,Resende FC RJ,away,away,1.25,,Bet365,odds_api_io,53.46,27.2,20.91,,,69.01,,,xg_spread,54.692,1.209,1.556,,ensemble,,insufficient_history,,,,,,
soccer|americano rj|serrano rj|2026-05-30,day_inventory,70886064,soccer,"Brazil - Carioca, Serie A2",Serrano FC RJ,Americano FC RJ,2026-05-30T17:45:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""70886064""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|serrano rj|americano rj"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,spreads,Serrano FC RJ,home,home,-1.5,,Bet365,odds_api_io,51.83,27.75,22.22,,,64.31,,,xg_spread,54.686,1.152,0.97,,ensemble,,insufficient_history,,,,,,
soccer|agropecuario argentino|ca colegiales|2026-05-30,day_inventory,67118432,soccer,Argentina - Primera Nacional,CA Colegiales,Agropecuario Argentino,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""67118432""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|ca colegiales|agropecuario argentino"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,spreads,CA Colegiales,home,home,-1.25,,Betfair Exchange,odds_api_io,54.99,72.2,76.17,,,62.65,,,xg_spread,243.306,1.236,0.736,,ensemble,,insufficient_history,,,,,,
soccer|ca estudiantes|godoy cruz|2026-05-30,day_inventory,67117718,soccer,Argentina - Primera Nacional,CA Estudiantes,CD Godoy Cruz,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""67117718""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|ca estudiantes|godoy cruz"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,spreads,CD Godoy Cruz,away,away,-0.75,,Betfair Exchange,odds_api_io,56.13,48.61,46.65,,,59.47,,,xg_spread,139.309,0.624,1.237,,sstats_form,,insufficient_history,,,,,,
soccer|ce juventude estancia se|r4 ce|2026-05-30,day_inventory,71325408,soccer,"Brazil - Brasileiro A3, Women",CE Juventude de Estancia SE,R4 CE,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""71325408""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|ce juventude estancia se|r4 ce"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,totals,Меньше,under,,3.25,,Bet365,odds_api_io,76.97,55.97,51.32,,,58.21,,,xg_total,23.95,1.627,0.816,,clubelo,,insufficient_history,,,,,,
soccer|coritiba pr|heips rj|2026-05-30,day_inventory,71324800,soccer,"Brazil - Brasileiro A3, Women",Coritiba FC PR,Heips RJ,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""71324800""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|coritiba pr|heips rj"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,spreads,Heips RJ,away,away,1.5,,Bet365,odds_api_io,49.65,50.98,51.28,,,59.21,,,xg_spread,15.152,1.448,1.413,,ensemble,,insufficient_history,,,,,,
soccer|sampaio correa ma|tiradentes pa|2026-05-30,day_inventory,71325380,soccer,"Brazil - Brasileiro A3, Women",Tiradentes PA,Sampaio Correa FC MA,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""71325380""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|tiradentes pa|sampaio correa ma"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,totals,Больше,over,,2.5,,Bet365,odds_api_io,67.9,57.3,54.58,,,57.85,,,xg_total,17.314,1.972,1.527,,sstats_form,,insufficient_history,,,,,,
soccer|itacoatiara am|perolas negras rj|2026-05-30,day_inventory,68971798,soccer,"Brazil - Brasileiro Serie A2, Women",Perolas Negras RJ,Itacoatiara FC AM,2026-05-30T18:00:00+00:00,mid,"{""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/frozen_inventory_roster_2026-05-30.json"", ""day_inventory_refresh"": {""last_odds_refresh_utc"": ""2026-05-30T15:07:01.908781+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""68971798""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 1, ""inventory_match_key"": ""2026-05-30|perolas negras rj|itacoatiara am"", ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-05-30T15:07:01.908781+00:00"", ""top_inventory_direct_file_scope"": true}",,totals,Меньше,under,,3.0,,Bet365,odds_api_io,79.55,53.24,47.37,,,61.26,,,xg_total,32.02,0.983,1.336,,clubelo,,insufficient_history,,,,,,
