match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|manaus am|nacional am|2026-05-31,day_inventory,70318432,soccer,Brazil - Brasileiro Serie D,Manaus FC AM,Nacional FC AM,2026-05-31T21:00:00+00:00,mid,"{""competition"": ""Brazil - Brasileiro Serie D"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|manaus am|nacional am|2026-05-31"", ""odds_api_io_id"": 70318432, ""raw_event"": {""away"": ""Nacional FC AM"", ""awayId"": 21859, ""date"": ""2026-05-31T21:00:00Z"", ""home"": ""Manaus FC AM"", ""homeId"": 290390, ""id"": 70318432, ""league"": {""name"": ""Brazil - Brasileiro Serie D"", ""slug"": ""brazil-brasileiro-serie-d""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,h2h,Manaus FC AM,home,home,,,Bet365,odds_api_io,55.87,41.86,30.65,,,71.5,,,soccer_context,54.548,1.465,0.719,,ensemble,,insufficient_history,,,,,,
soccer|manauara am|monte roraima rr|2026-05-31,day_inventory,70318428,soccer,Brazil - Brasileiro Serie D,Monte Roraima RR,Manauara EC AM,2026-05-31T21:00:00+00:00,mid,"{""competition"": ""Brazil - Brasileiro Serie D"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|manauara am|monte roraima rr|2026-05-31"", ""odds_api_io_id"": 70318428, ""raw_event"": {""away"": ""Manauara EC AM"", ""awayId"": 837176, ""date"": ""2026-05-31T21:00:00Z"", ""home"": ""Monte Roraima RR"", ""homeId"": 1104921, ""id"": 70318428, ""league"": {""name"": ""Brazil - Brasileiro Serie D"", ""slug"": ""brazil-brasileiro-serie-d""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Manauara EC AM,away,away,-1.0,,Unibet,odds_api_io,45.2,61.04,73.29,,,69.29,,,xg_spread,135.984,1.287,0.807,,ensemble,,insufficient_history,,,,,,
soccer|humaita|independencia|2026-05-31,day_inventory,70318506,soccer,Brazil - Brasileiro Serie D,SC Humaita AC,Independencia FC AC,2026-05-31T21:00:00+00:00,mid,"{""competition"": ""Brazil - Brasileiro Serie D"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|humaita|independencia|2026-05-31"", ""odds_api_io_id"": 70318506, ""raw_event"": {""away"": ""Independencia FC AC"", ""awayId"": 538749, ""date"": ""2026-05-31T21:00:00Z"", ""home"": ""SC Humaita AC"", ""homeId"": 463359, ""id"": 70318506, ""league"": {""name"": ""Brazil - Brasileiro Serie D"", ""slug"": ""brazil-brasileiro-serie-d""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|manhattan|paisley athletic|2026-05-31,day_inventory,68989214,soccer,USA - USL W League,Paisley Athletic FC,Manhattan SC,2026-05-31T21:00:00+00:00,mid,"{""competition"": ""USA - USL W League"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|manhattan|paisley athletic|2026-05-31"", ""odds_api_io_id"": 68989214, ""raw_event"": {""away"": ""Manhattan SC"", ""awayId"": 911993, ""date"": ""2026-05-31T21:00:00Z"", ""home"": ""Paisley Athletic FC"", ""homeId"": 991801, ""id"": 68989214, ""league"": {""name"": ""USA - USL W League"", ""slug"": ""usa-usl-w-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|lancaster inferno|patuxent athletics|2026-05-31,day_inventory,68989216,soccer,USA - USL W League,Patuxent Football Athletics,Lancaster Inferno,2026-05-31T21:00:00+00:00,mid,"{""competition"": ""USA - USL W League"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|lancaster inferno|patuxent athletics|2026-05-31"", ""odds_api_io_id"": 68989216, ""raw_event"": {""away"": ""Lancaster Inferno"", ""awayId"": 457093, ""date"": ""2026-05-31T21:00:00Z"", ""home"": ""Patuxent Football Athletics"", ""homeId"": 912009, ""id"": 68989216, ""league"": {""name"": ""USA - USL W League"", ""slug"": ""usa-usl-w-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|rally madison|sioux falls city|2026-05-31,day_inventory,68989212,soccer,USA - USL W League,Sioux Falls City FC,Rally Madison FC,2026-05-31T21:00:00+00:00,mid,"{""competition"": ""USA - USL W League"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|rally madison|sioux falls city|2026-05-31"", ""odds_api_io_id"": 68989212, ""raw_event"": {""away"": ""Rally Madison FC"", ""awayId"": 1328272, ""date"": ""2026-05-31T21:00:00Z"", ""home"": ""Sioux Falls City FC"", ""homeId"": 1232541, ""id"": 68989212, ""league"": {""name"": ""USA - USL W League"", ""slug"": ""usa-usl-w-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|estudiantes merida|tachira|2026-05-31,day_inventory,71172398,soccer,Venezuela - Primera Division,Deportivo Tachira,Estudiantes de Merida,2026-05-31T21:00:00+00:00,mid,"{""competition"": ""Venezuela - Primera Division"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|estudiantes merida|tachira|2026-05-31"", ""odds_api_io_id"": 71172398, ""raw_event"": {""away"": ""Estudiantes de Merida"", ""awayId"": 7745, ""date"": ""2026-05-31T21:00:00Z"", ""home"": ""Deportivo Tachira"", ""homeId"": 6231, ""id"": 71172398, ""league"": {""name"": ""Venezuela - Primera Division"", ""slug"": ""venezuela-primera-division""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Deportivo Tachira,home,home,-2.75,,Bet365,odds_api_io,56.61,40.42,27.43,,,71.73,,,xg_spread,107.845,1.479,0.819,,ensemble,,insufficient_history,,,,,,
soccer|carabobo|metropolitanos|2026-05-31,day_inventory,71172396,soccer,Venezuela - Primera Division,Metropolitanos FC,Carabobo FC,2026-05-31T21:00:00+00:00,mid,"{""competition"": ""Venezuela - Primera Division"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|carabobo|metropolitanos|2026-05-31"", ""odds_api_io_id"": 71172396, ""raw_event"": {""away"": ""Carabobo FC"", ""awayId"": 6229, ""date"": ""2026-05-31T21:00:00Z"", ""home"": ""Metropolitanos FC"", ""homeId"": 162480, ""id"": 71172396, ""league"": {""name"": ""Venezuela - Primera Division"", ""slug"": ""venezuela-primera-division""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Metropolitanos FC,home,home,-0.75,,Betfair Exchange,odds_api_io,51.45,42.0,34.41,,,71.67,,,xg_spread,124.829,1.149,1.004,,ensemble,,insufficient_history,,,,,,
soccer|anapolis go|maranhao ma|2026-05-31,day_inventory,69255068,soccer,Brazil - Brasileiro Serie C,Anapolis FC GO,Maranhao AC MA,2026-05-31T21:30:00+00:00,mid,"{""competition"": ""Brazil - Brasileiro Serie C"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|anapolis go|maranhao ma|2026-05-31"", ""odds_api_io_id"": 69255068, ""raw_event"": {""away"": ""Maranhao AC MA"", ""awayId"": 21858, ""date"": ""2026-05-31T21:30:00Z"", ""home"": ""Anapolis FC GO"", ""homeId"": 21872, ""id"": 69255068, ""league"": {""name"": ""Brazil - Brasileiro Serie C"", ""slug"": ""brazil-brasileiro-serie-c""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,Anapolis FC GO,home,home,-1.25,,Betfair Exchange,odds_api_io,55.88,63.33,69.37,,,72.33,,,xg_spread,212.351,1.527,0.939,,ensemble,,insufficient_history,,,,,,
soccer|cobreloa calama|csd rangers|2026-05-31,day_inventory,68097930,soccer,Chile - Primera B,CD Cobreloa Calama,CSD Rangers,2026-05-31T21:30:00+00:00,mid,"{""competition"": ""Chile - Primera B"", ""day_inventory"": true, ""day_inventory_coverage"": {}, ""day_inventory_path"": ""/home/runner/work/sports-bot/sports-bot/.data/day_inventory/runtime_topup_roster_2026-05-31.json"", ""day_inventory_refresh"": {}, ""day_inventory_source_ids"": {}, ""inventory_match_key"": ""soccer|cobreloa calama|csd rangers|2026-05-31"", ""odds_api_io_id"": 68097930, ""raw_event"": {""away"": ""CSD Rangers"", ""awayId"": 3154, ""date"": ""2026-05-31T21:30:00Z"", ""home"": ""CD Cobreloa Calama"", ""homeId"": 3159, ""id"": 68097930, ""league"": {""name"": ""Chile - Primera B"", ""slug"": ""chile-primera-b""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""runtime_topup_roster"": true, ""top_inventory_direct_file_scope"": true}",,spreads,CD Cobreloa Calama,home,home,-1.75,,Betfair Exchange,odds_api_io,54.08,81.79,88.57,,,68.99,,,xg_spread,212.106,1.548,1.14,,ensemble,,insufficient_history,,,,,,
