match_key,context_source_count,line_family_count,line_source_count,line_snapshot_count,line_snapshot_count_6h,agreement_score,provider_conflict_score,has_weather,has_lineups,has_injuries,has_news,steam_score,best_market_movement,context_sources,line_sources,line_families
soccer|machida zelvia|nagoya grampus|2026-06-06,3,7,2,362,362,0.9006,0.0994,False,False,False,False,,,"[""bzzoiro"", ""openligadb"", ""sstats""]","[""odds_api_io"", ""bzzoiro""]","[""h2h"", ""dnb"", ""spreads"", ""totals"", ""btts"", ""teamTotals"", ""doubleChance""]"
soccer|mito hollyhock|v varen nagasaki|2026-06-06,3,7,2,381,381,0.871,0.129,False,False,False,False,,,"[""bzzoiro"", ""openligadb"", ""sstats""]","[""odds_api_io"", ""bzzoiro""]","[""h2h"", ""dnb"", ""spreads"", ""totals"", ""btts"", ""teamTotals"", ""doubleChance""]"
soccer|gainare tottori|gifu|2026-06-06,2,7,1,208,208,0.7849,0.2151,False,False,False,False,,,"[""openligadb"", ""sstats""]","[""odds_api_io""]","[""h2h"", ""dnb"", ""spreads"", ""totals"", ""btts"", ""teamTotals"", ""doubleChance""]"
soccer|broadmeadow magic|valentine|2026-06-06,1,5,1,71,71,,,False,False,False,False,,,"[""sstats""]","[""odds_api_io""]","[""h2h"", ""dnb"", ""spreads"", ""totals"", ""btts""]"
soccer|mindil aces reserves|palmerston rovers reserves|2026-06-06,0,0,0,0,0,,,False,False,False,False,,,[],[],[]
soccer|casuarina|mindil aces|2026-06-06,0,0,0,0,0,,,False,False,False,False,,,[],[],[]
soccer|blacktown spartans|hakoah|2026-06-06,2,6,1,69,69,0.7055,0.2945,False,False,False,False,,,"[""openligadb"", ""sstats""]","[""odds_api_io""]","[""h2h"", ""dnb"", ""spreads"", ""totals"", ""doubleChance"", ""teamTotals""]"
soccer|unsw|western city rangers|2026-06-06,2,0,0,0,0,1.0,0.0,True,False,False,False,,,"[""sstats"", ""weather""]",[],[]
soccer|japan|south africa|2026-06-06,3,6,1,120,120,0.8032,0.1968,False,False,False,False,,,"[""bzzoiro"", ""openligadb"", ""sstats""]","[""odds_api_io""]","[""h2h"", ""dnb"", ""doubleChance"", ""spreads"", ""totals"", ""btts""]"
soccer|south cardiff reserves|west wallsend sfc reserves|2026-06-06,2,0,0,0,0,0.9792,0.0208,True,False,False,False,,,"[""sstats"", ""weather""]",[],[]
