match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|lake macquarie|toronto awaba|2026-06-10,odds_api_io,71816154,soccer,Australia - Northern NSW League One,Lake Macquarie,Toronto Awaba FC,2026-06-10T10:00:00+00:00,mid,"{""competition"": ""Australia - Northern NSW League One"", ""odds_api_io_id"": 71816154, ""raw_event"": {""away"": ""Toronto Awaba FC"", ""awayId"": 431885, ""date"": ""2026-06-10T10:00:00Z"", ""home"": ""Lake Macquarie"", ""homeId"": 136226, ""id"": 71816154, ""league"": {""name"": ""Australia - Northern NSW League One"", ""slug"": ""australia-northern-nsw-league-one""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|charlestown azzurri|lake macquarie city|2026-06-10,odds_api_io,71816148,soccer,Australia - Northern NSW NPL,Lake Macquarie City FC,Charlestown Azzurri FC,2026-06-10T10:00:00+00:00,mid,"{""competition"": ""Australia - Northern NSW NPL"", ""odds_api_io_id"": 71816148, ""raw_event"": {""away"": ""Charlestown Azzurri FC"", ""awayId"": 776868, ""date"": ""2026-06-10T10:00:00Z"", ""home"": ""Lake Macquarie City FC"", ""homeId"": 1317448, ""id"": 71816148, ""league"": {""name"": ""Australia - Northern NSW NPL"", ""slug"": ""australia-northern-nsw-npl""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|broadmeadow magic|new lambton|2026-06-10,odds_api_io,71816146,soccer,Australia - Northern NSW NPL,New Lambton FC,Broadmeadow Magic FC,2026-06-10T10:00:00+00:00,mid,"{""competition"": ""Australia - Northern NSW NPL"", ""odds_api_io_id"": 71816146, ""raw_event"": {""away"": ""Broadmeadow Magic FC"", ""awayId"": 776874, ""date"": ""2026-06-10T10:00:00Z"", ""home"": ""New Lambton FC"", ""homeId"": 437598, ""id"": 71816146, ""league"": {""name"": ""Australia - Northern NSW NPL"", ""slug"": ""australia-northern-nsw-npl""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|carina|redcliffe dolphins|2026-06-10,day_inventory,67904488,soccer,Australia - Queensland Premier League 3,AC Carina,Redcliffe Dolphins,2026-06-10T10:30:00+00:00,mid,"{""accumulated_from_latest_matches"": true, ""books_count"": 0, ""competition"": ""Australia - Queensland Premier League 3"", ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""core_inventory"": true, ""core_provider_inventory_bridge_updated_utc"": ""2026-06-09T21:02:02.456492+00:00"", ""coverage_repair_sources"": [""day_inventory""], ""day_inventory"": true, ""day_inventory_coverage"": {""context"": true, ""context_2plus_sources"": false, ""context_source_count"": 0, ""fixture_core"": true, ""form"": true, ""news"": false, ""odds"": true, ""odds_2plus_sources"": true, ""odds_source_count"": 1, ""ready_for_model"": true, ""ready_for_publish"": false, ""weather"": false, ""xg"": false}, ""day_inventory_path"": "".data/day_inventory/2026-06-10.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": ""2026-06-10T05:14:50.002355+00:00"", ""last_fixture_refresh_utc"": ""2026-06-09T21:02:02.435407+00:00"", ""last_odds_refresh_utc"": ""2026-06-10T05:14:50.002355+00:00"", ""last_run_coverage_merge_utc"": ""2026-06-10T05:14:00.787179+00:00""}, ""day_inventory_source_ids"": {""day_inventory"": ""67904488"", ""odds_api_io"": ""67904488""}, ""fixture_sources_count"": 2, ""has_current_odds_provider"": true, ""independent_odds_sources_count"": 1, ""latest_best_confidence"": 53.44, ""latest_best_edge_pp"": 0.0, ""latest_best_ev_pct"": 0.0, ""latest_books_max"": 0, ""latest_candidate_count"": 2, ""latest_confirmation_sources_max"": 1, ""latest_context_sources_max"": 1, ""latest_controlled_count"": 0, ""latest_odds_sources_max"": 0, ""latest_run_source"": ""day_inventory"", ""latest_run_source_event_id"": ""67904488"", ""latest_sources_max"": 1, ""odds_api_io_id"": 67904488, ""odds_sources_count"": 1, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""provider_source_ids"": {""odds_api_io"": ""67904488""}, ""raw_event"": {""away"": ""Redcliffe Dolphins"", ""awayId"": 870691, ""date"": ""2026-06-10T10:30:00Z"", ""home"": ""AC Carina"", ""homeId"": 313123, ""id"": 67904488, ""league"": {""name"": ""Australia - Queensland Premier League 3"", ""slug"": ""australia-queensland-premier-league-3""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""source_evidence_samples"": [{""books"": 0, ""context_sources"": 1, ""odds_sources"": 0, ""source"": ""latest-match-data-coverage-matches.json""}], ""source_evidence_updated_utc"": ""2026-06-10T07:15:59.214371+00:00"", ""sources_count"": 1, ""sources_seen"": ""odds_api_io""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|mlada boleslav|slovacko|2026-06-10,day_inventory,66601942,soccer,Czechia - U19 1. Liga,Slovacko,Mlada Boleslav,2026-06-10T11:00:00+00:00,mid,"{""accumulated_from_latest_matches"": true, ""books_count"": 2, ""confirmation_sources_count"": 1, ""context_sources_count"": 1, ""coverage_repair_sources"": [""day_inventory""], ""day_inventory"": true, ""day_inventory_coverage"": {""context"": true, ""context_2plus_sources"": true, ""context_sources_count"": 1, ""fixture_core"": true, ""fixture_source_2plus"": true, ""form"": true, ""form_sources_count"": 2, ""news"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 2, ""ready_for_model"": true, ""ready_for_publish"": false, ""weather"": false, ""xg"": true, ""xg_sources_count"": 2}, ""day_inventory_path"": "".data/day_inventory/2026-06-10.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": ""2026-06-10T07:16:50.239567+00:00"", ""last_fixture_refresh_utc"": ""2026-06-09T22:09:21.030432+00:00"", ""last_odds_refresh_utc"": ""2026-06-10T07:16:50.239567+00:00"", ""last_run_coverage_merge_utc"": ""2026-06-10T07:15:59.082793+00:00""}, ""day_inventory_source_ids"": {""day_inventory"": ""66601942"", ""odds_api_io"": ""66601942"", ""sstats"": ""1490732""}, ""fixture_sources_count"": 2, ""independent_odds_sources_count"": 0, ""latest_best_confidence"": 55.34, ""latest_best_edge_pp"": 0.0, ""latest_best_ev_pct"": 6.164, ""latest_books_max"": 2, ""latest_candidate_count"": 4, ""latest_confirmation_sources_max"": 1, ""latest_context_sources_max"": 1, ""latest_controlled_count"": 0, ""latest_odds_sources_max"": 1, ""latest_run_source"": ""day_inventory"", ""latest_run_source_event_id"": ""66601942"", ""latest_sources_max"": 1, ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 2, ""price_sources_count"": 2, ""source_evidence_samples"": [{""books"": 2, ""context_sources"": 1, ""odds_sources"": 1, ""source"": ""latest-match-data-coverage-matches.json""}, {""deep_ok"": true, ""detail_ok"": false, ""game_id"": ""1490732"", ""source"": ""latest-sstats-deep-inventory-enrichment.json""}], ""source_evidence_updated_utc"": ""2026-06-10T07:15:59.214371+00:00"", ""sources_count"": 1}",,spreads,Slovacko,home,home,-1.0,,Betfair Exchange,odds_api_io,55.45,52.32,51.65,,,55.38,,,market_derived_spreads,170.265,,,,market_signal,,insufficient_history,,,,,,
soccer|congo dr youth|saudi arabia|2026-06-10,odds_api_io,71826660,soccer,"International Youth - Tournoi Maurice Revello, Group A",Congo Dr Youth,Saudi Arabia,2026-06-10T11:30:00+00:00,mid,"{""competition"": ""International Youth - Tournoi Maurice Revello, Group A"", ""odds_api_io_id"": 71826660, ""raw_event"": {""away"": ""Saudi Arabia"", ""awayId"": 903531, ""date"": ""2026-06-10T11:30:00Z"", ""home"": ""Congo Dr Youth"", ""homeId"": 1342246, ""id"": 71826660, ""league"": {""name"": ""International Youth - Tournoi Maurice Revello, Group A"", ""slug"": ""international-youth-tournoi-maurice-revello-group-a""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,spreads,Congo Dr Youth,home,home,-1.25,,Bet365,odds_api_io,39.43,37.42,36.03,,,61.74,,,market_simple_spreads,96.086,,,,market_signal,,insufficient_history,,,,,,
soccer|mannheim|pirmasens|2026-06-10,odds_api_io,71931324,soccer,"Germany Amateur - Oberliga, Qualification for Regionalliga Southwest",Pirmasens,Mannheim,2026-06-10T12:00:00+00:00,mid,"{""competition"": ""Germany Amateur - Oberliga, Qualification for Regionalliga Southwest"", ""odds_api_io_id"": 71931324, ""raw_event"": {""away"": ""Mannheim"", ""awayId"": 2679, ""date"": ""2026-06-10T12:00:00Z"", ""home"": ""Pirmasens"", ""homeId"": 5825, ""id"": 71931324, ""league"": {""name"": ""Germany Amateur - Oberliga, Qualification for Regionalliga Southwest"", ""slug"": ""germany-amateur-oberliga-qualification-for-regionalliga-southwest""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|laos|saudi arabia|2026-06-10,day_inventory,71816152,soccer,"International - International Friendly Games, Women",Saudi Arabia,Laos,2026-06-10T12:00:00+00:00,mid,"{""accumulated_from_latest_matches"": true, ""books_count"": 0, ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""coverage_repair_sources"": [""day_inventory""], ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""fixture_core"": true, ""fixture_source_2plus"": true, ""form"": false, ""news"": false, ""odds"": true, ""odds_2plus_sources"": false, ""odds_sources_count"": 1, ""ready_for_model"": false, ""ready_for_publish"": false, ""weather"": false, ""xg"": false}, ""day_inventory_path"": "".data/day_inventory/2026-06-10.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": null, ""last_fixture_refresh_utc"": ""2026-06-09T22:09:21.030706+00:00"", ""last_odds_refresh_utc"": null}, ""day_inventory_source_ids"": {""day_inventory"": ""71816152"", ""odds_api_io"": ""71816152"", ""sstats"": ""1548488""}, ""fixture_sources_count"": 1, ""independent_odds_sources_count"": 0, ""latest_run_source"": ""day_inventory"", ""latest_run_source_event_id"": ""71816152"", ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""source_evidence_updated_utc"": ""2026-06-10T07:15:59.214371+00:00""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|bukhoro davlat universiteti|terdu|2026-06-10,odds_api_io,71943324,soccer,Uzbekistan - Pro Liga,Bukhoro Davlat Universiteti,Terdu,2026-06-10T12:30:00+00:00,mid,"{""competition"": ""Uzbekistan - Pro Liga"", ""odds_api_io_id"": 71943324, ""raw_event"": {""away"": ""Terdu"", ""awayId"": 1126619, ""date"": ""2026-06-10T12:30:00Z"", ""home"": ""Bukhoro Davlat Universiteti"", ""homeId"": 1332868, ""id"": 71943324, ""league"": {""name"": ""Uzbekistan - Pro Liga"", ""slug"": ""uzbekistan-pro-liga""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|cape town|magesi|2026-06-10,odds_api_io,71719770,soccer,"South Africa - Premier League, Relegation/Promotion Playoffs",Cape Town,Magesi,2026-06-10T13:00:00+00:00,mid,"{""competition"": ""South Africa - Premier League, Relegation/Promotion Playoffs"", ""odds_api_io_id"": 71719770, ""raw_event"": {""away"": ""Magesi"", ""awayId"": 90844, ""date"": ""2026-06-10T13:00:00Z"", ""home"": ""Cape Town"", ""homeId"": 276679, ""id"": 71719770, ""league"": {""name"": ""South Africa - Premier League, Relegation/Promotion Playoffs"", ""slug"": ""south-africa-premier-league-relegation/promotion-playoffs""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}}",,spreads,Magesi,away,away,-0.5,,Betfair Exchange,odds_api_io,49.53,47.51,46.13,,,61.74,,,market_simple_spreads,127.258,,,,market_signal,,insufficient_history,,,,,,
