match_key,market_key,family,selection,point,team_side,best_price,consensus_fair_odds,books,sources,snapshots_count,dispersion_pct,steam_score
soccer|america|cabofriense rj|2026-06-10,h2h|america||home,h2h,America,,home,2.2,2.1588,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,2.165,
soccer|america|cabofriense rj|2026-06-10,h2h|draw||,h2h,Draw,,,3.15,2.8947,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,4.618,
soccer|america|cabofriense rj|2026-06-10,h2h|cabofriense rj||away,h2h,Cabofriense RJ,,away,4.0,3.6699,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,5.303,
soccer|america|cabofriense rj|2026-06-10,dnb|america|0.00|home,dnb,America,0.0,home,1.51,1.5051,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,0.442,
soccer|america|cabofriense rj|2026-06-10,dnb|cabofriense rj|0.00|away,dnb,Cabofriense RJ,0.0,away,2.8,2.6442,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,4.286,
soccer|america|cabofriense rj|2026-06-10,spreads|america|-0.25|home,spreads,America,-0.25,home,1.84,1.8326,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,0.447,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|0.25|away,spreads,Cabofriense RJ,0.25,away,2.11,2.0415,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,3.24,
soccer|america|cabofriense rj|2026-06-10,totals|over|1.75|,totals,Over,1.75,,1.8,1.7898,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,0.624,
soccer|america|cabofriense rj|2026-06-10,totals|under|1.75|,totals,Under,1.75,,2.05,2.0251,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,1.22,
soccer|america|cabofriense rj|2026-06-10,totals|over|2.50|,totals,Over,2.5,,2.92,2.7898,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,2.79,
soccer|america|cabofriense rj|2026-06-10,totals|under|2.50|,totals,Under,2.5,,1.51,1.4261,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,6.768,
soccer|america|cabofriense rj|2026-06-10,spreads|america|-1.25|home,spreads,America,-1.25,home,4.38,4.0747,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,3.485,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|1.25|away,spreads,Cabofriense RJ,1.25,away,1.25,1.25,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",2,,
soccer|america|cabofriense rj|2026-06-10,spreads|america|-1.00|home,spreads,America,-1.0,home,5.0,3.9613,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",3,8.986,
soccer|america|cabofriense rj|2026-06-10,spreads|cabofriense rj|1.00|away,spreads,Cabofriense RJ,1.0,away,1.8,1.4385,"[""Bet365"", ""Betfair Exchange""]","[""odds_api_io""]",3,21.368,
