match_key,home_team,away_team,kickoff,books_count,context_count,has_xg_like_context,provider_xg_source,has_candidate_in_latest_run,gap_reason
2026-08-29|keilor park|altona city,Keilor Park SC,Altona City SC,2026-08-29T05:00:00+00:00,10,4,True,,False,b_cover_no_candidate
2026-08-29|moreland city|essendon royals,Moreland City FC,Essendon Royals SC,2026-08-29T05:00:00+00:00,10,4,True,,False,b_cover_no_candidate
2026-08-29|whittlesea united|nunawading city,Whittlesea United SC,Nunawading City,2026-08-29T05:00:00+00:00,10,4,True,,False,b_cover_no_candidate
2026-08-29|iwate grulla morioka|reinmeer aomori,Iwate Grulla Morioka,Reinmeer Aomori,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|eastern lions|kingston city,Eastern Lions SC,Kingston City FC,2026-08-29T05:00:00+00:00,10,4,True,,False,b_cover_no_candidate
2026-08-29|goulburn valley suns|box hill united,Goulburn Valley Suns,Box Hill United FC,2026-08-29T05:00:00+00:00,10,4,True,,False,b_cover_no_candidate
2026-08-29|malvern city|werribee city,Malvern City FC,Werribee City FC,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|springvale white eagles|bayside argonauts,Springvale White Eagles,Bayside Argonauts FC,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|gold coast knights|queenland lions,Gold Coast Knights,Queenland Lions FC,2026-08-29T05:00:00+00:00,9,4,True,,True,has_candidate
2026-08-29|melbourne university|ringwood city,Melbourne University SC,Ringwood City FC,2026-08-29T05:00:00+00:00,10,4,True,,False,b_cover_no_candidate
2026-08-29|unsw u23|hills united u23,UNSW FC U23,Hills United FC U23,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|robina city u23|ipswich u23,Robina City U23,Ipswich FC U23,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|ballarat city|manningham united blues,Ballarat City FC,Manningham United Blues FC,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|bundoora united|banyule city,Bundoora United FC,Banyule City SC,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|clifton hill|eltham redbacks,FC Clifton Hill,Eltham Redbacks,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|geelong galaxy united|brunswick juventus,Geelong Galaxy United FC,Brunswick Juventus FC,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|balga reserve|wembley downs reserves,Balga SC Reserve,Wembley Downs SC Reserves,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|east perth reserve|morley windmills reserves,East Perth FC Reserve,Morley Windmills SC Reserves,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|gosnells city reserves|forrestfield united reserve,Gosnells City FC Reserves,Forrestfield United SC Reserve,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|kalamunda city reserves|carramar shamrock rovers reserves,Kalamunda City FC Reserves,Carramar Shamrock Rovers Reserves,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|north beach reserves|ashfield reserves,North Beach SC Reserves,Ashfield SC Reserves,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|rockingham city reserves|canning city reserves,Rockingham City FC Reserves,Canning City FC Reserves,2026-08-29T05:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|playford city|adelaide city,Playford City,Adelaide City FC,2026-08-29T05:30:00+00:00,9,4,True,,True,has_candidate
2026-08-29|adelaide blue eagles|adelaide croatia raiders,Adelaide Blue Eagles,Adelaide Croatia Raiders SC,2026-08-29T05:30:00+00:00,9,4,True,,True,has_candidate
2026-08-29|salisbury international|western strikers,Salisbury International SC,Western Strikers,2026-08-29T05:30:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|west adelaide|west torrens birkalla,West Adelaide,West Torrens Birkalla,2026-08-29T05:30:00+00:00,3,2,True,,True,has_candidate
2026-08-29|kingborough lions united|glenorchy knights,Kingborough Lions United FC,Glenorchy Knights,2026-08-29T04:30:00+00:00,10,4,True,,False,b_cover_no_candidate
2026-08-29|launceston united|devonport city,Launceston United,Devonport City SC,2026-08-29T04:30:00+00:00,10,4,True,,False,b_cover_no_candidate
2026-08-29|riverside olympic|taroona,Riverside Olympic,Taroona,2026-08-29T04:30:00+00:00,10,4,True,,False,b_cover_no_candidate
2026-08-29|wellington phoenix reserve|upper hutt city,Wellington Phoenix FC Reserve,Upper Hutt City FC,2026-08-29T04:30:00+00:00,10,4,True,,False,b_cover_no_candidate
2026-08-29|launceston city|somerset,Launceston City FC 2,Somerset,2026-08-29T04:30:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|northern rangers|ulverstone,Northern Rangers,Ulverstone SC 2,2026-08-29T04:30:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|broadmeadow magic|weston bears,Broadmeadow Magic FC,Weston Bears FC,2026-08-29T06:00:00+00:00,10,4,True,,False,b_cover_no_candidate
2026-08-29|maruyasu okazaki|verspah oita,Maruyasu Okazaki,Verspah Oita,2026-08-29T06:00:00+00:00,2,2,True,,False,b_cover_no_candidate
2026-08-29|tigers|canberra juventus,Tigers FC,Canberra Juventus FC,2026-08-29T06:00:00+00:00,9,4,True,,False,b_cover_no_candidate
2026-08-29|sunshine coast wanderers u23|brisbane strikers u23,Sunshine Coast Wanderers U23,Brisbane Strikers U23,2026-08-29T06:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|zhfk yenisey krasnoyarsk|rostov,Zhfk Yenisey Krasnoyarsk,FK Rostov,2026-08-29T06:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|south hobart|kingborough lions united,South Hobart FC,Kingborough Lions United FC,2026-08-29T04:00:00+00:00,4,2,True,,False,b_cover_no_candidate
2026-08-29|ska khabarovsk|arsenal tula,Ska-Khabarovsk-2,Arsenal-2 Tula,2026-08-29T04:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|rydalmere lions|dulwich hill,Rydalmere Lions FC U20,Dulwich Hill U20,2026-08-29T06:30:00+00:00,10,4,True,,False,b_cover_no_candidate
2026-08-29|northern tigers u23|apia leichhardt u23,Northern Tigers U23,APIA Leichhardt FC U23,2026-08-29T06:30:00+00:00,10,5,True,,False,b_cover_no_candidate
2026-08-29|maitland reserve|new lambton reserve,Maitland FC Reserve,New Lambton FC Reserve,2026-08-29T03:45:00+00:00,10,4,True,,False,b_cover_no_candidate
2026-08-29|valentine reserve|newcastle olympic reserve,Valentine FC Reserve,Newcastle Olympic FC Reserve,2026-08-29T03:45:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|launceston city|south hobart,Launceston City,South Hobart FC,2026-08-29T06:45:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|atromitos athinon|paok thessaloniki,Atromitos Athinon U19,PAOK Thessaloniki U19,2026-08-29T06:55:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|panaitolikos|kalamata,Panaitolikos U19,Kalamata U19,2026-08-29T06:55:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|moreton city excelsior|gold coast knights,Moreton City Excelsior FC,Gold Coast Knights,2026-08-29T07:00:00+00:00,9,2,True,glicko_xg,False,b_cover_no_candidate
2026-08-29|canterbury bankstown|macarthur rams,Canterbury Bankstown FC,Macarthur Rams,2026-08-29T07:00:00+00:00,37,4,True,,False,b_cover_no_candidate
2026-08-29|inter lions|hakoah,Inter Lions FC,Hakoah,2026-08-29T07:00:00+00:00,10,4,True,,False,b_cover_no_candidate
2026-08-29|inner west hawks|central coast united,Inner West Hawks FC,Central Coast United FC,2026-08-29T07:00:00+00:00,2,2,True,,True,has_candidate
2026-08-29|camden tigers|parramatta eagles,Camden Tigers FC,Parramatta FC Eagles,2026-08-29T07:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|hawkesbury city|bankstown united,Hawkesbury City SC,Bankstown United FC,2026-08-29T07:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|bulls academy|blacktown spartans,Bulls FC Academy U20,Blacktown Spartans FC U20,2026-08-29T07:00:00+00:00,9,4,True,,False,b_cover_no_candidate
2026-08-29|gap|mitchelton,The Gap FC,Mitchelton FC,2026-08-29T07:00:00+00:00,2,2,True,,False,b_cover_no_candidate
2026-08-29|north eastern metrostars reserves|sturt lions reserve,North Eastern Metrostars SC Reserves,Sturt Lions Reserve,2026-08-29T07:00:00+00:00,2,2,True,,True,has_candidate
2026-08-29|hills united brumbies|central coast mariners academy,Hills United FC Brumbies,Central Coast Mariners Academy,2026-08-29T07:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|newcastle jets youth|bankstown city,Newcastle Jets Youth,Bankstown City FC,2026-08-29T07:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|western city rangers|northern tigers,Western City Rangers FC U20,Northern Tigers FC U20,2026-08-29T07:00:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|tijuana|pumas unam,Club Tijuana,Pumas UNAM,2026-08-29,9,2,True,last_games_form_goals,False,b_cover_no_candidate
2026-08-29|tijuana caliente|pumas unam,Club Tijuana de Caliente,Pumas UNAM,2026-08-29T03:10:00+00:00,9,4,True,last_games_form_goals,False,b_cover_no_candidate
2026-08-29|carina|moggill,AC Carina,Moggill FC,2026-08-29T07:30:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|ghan kilburn|elizabeth downs,Ghan Kilburn SC,Elizabeth Downs SC,2026-08-29T07:30:00+00:00,1,2,True,,False,b_cover_no_candidate
2026-08-29|north lakes united|caboolture,North Lakes United,Caboolture FC,2026-08-29T07:30:00+00:00,2,2,True,,True,has_candidate
