report_date,prediction_id,fingerprint,published_at,published_at_local,published_date_local,telegram_sent,tracking_mode,tracking_reason,shadow_tracked,match_key,sport_key,league_name,home_team,away_team,match_name,commence_time_utc,commence_time_local,family,selection,selection_key,team_side,point,odds,stake_amount,status,result,is_hit,pnl,roi_pct,final_score,final_home_goals,final_away_goals,settled_at,settlement_source,settlement_note,settlement_result_orientation,settlement_attempt_at,settlement_attempt_reason,settlement_grade_issue,settlement_match_failure,settlement_match_threshold,settlement_best_score,settlement_best_source,settlement_best_status,settlement_best_event,settlement_best_scoreline,settlement_matched_via,settlement_manual_note,model_probability_pct,adjusted_probability_pct,market_probability_pct,edge_pct,ev_pct,confidence,books_count,sources_count,model_mode,publication_score,expected_home,expected_away,total_xg,selected_bookmaker,selected_source,context_source,context_sources,context_confidence,context_mode,market_movement,best_vs_consensus_edge_pct,consensus_dispersion_pct,match_tier,quality_status,quality_score,quality_reasons
,92a161311673da93cce8c2067bf832f8d252a4a8,92a161311673da93cce8c2067bf832f8d252a4a8,,,,True,,,False,soccer|af_elbasani|bate_borisov|2026-07-07,,"International Clubs - UEFA Conference League, Qualification",Af Elbasani,Bate Borisov,Af Elbasani — Bate Borisov,,,totals,Меньше,under,,2.5,1.85,5.0,won,won,True,0.0,0.0,,,,,,,direct,2026-07-08T01:07:37.708637+00:00,settled,,,,106.0,sstats,Finished,AF Elbasani vs Bate Borisov,1:1,,,,,,,11.106,,158,,,,1.6,0.457,2.057,,,,,,,,,,,,,
,20e3aa75e609e027399007814534ff18e7e67aa3,20e3aa75e609e027399007814534ff18e7e67aa3,,,,True,,,False,soccer|argentina|egypt|2026-07-07,,World Cup 2026,Argentina,Egypt,Argentina — Egypt,,,totals,Меньше,under,,2.5,2.07,5.0,lost,lost,False,0.0,0.0,,,,,,,direct,2026-07-08T01:07:37.708637+00:00,settled,,,,100.0,sstats,Finished,Argentina vs Egypt,3:2,,,,,,,10.612,,210,,,,1.39,0.78,2.17,,,,,,,,,,,,,
,762fdd829158519b6de5add4e175bf5818105b79,762fdd829158519b6de5add4e175bf5818105b79,,,,True,,,False,soccer|busan i park|chungnam asan|2026-06-05,,Republic of Korea - K-League 2,Busan I Park,Chungnam Asan FC,Busan I Park — Chungnam Asan FC,,,totals,Больше 2.5,over,,2.5,2.06,5.0,pending,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,14.255,,6,,,,,,,,,,,,,,,,,,,
,b9ca87121f25b89089b7232f04424a89e6eb9f8d,b9ca87121f25b89089b7232f04424a89e6eb9f8d,,,,True,,,False,soccer|argentino quilmes|csd flandria|2026-06-06,,Argentina - Primera B,CSD Flandria,Argentino de Quilmes,CSD Flandria — Argentino de Quilmes,,,totals,Меньше 2.5,under,,2.5,2.75,5.0,pending,pending,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6,,4,,,,,,,,,,,,,,,,,,,
,f92378801c3e300b445a73c0494ad7f79d6123b1,f92378801c3e300b445a73c0494ad7f79d6123b1,,,,True,,,False,soccer|colo_colo|deportes_recoleta|2026-07-06,,"Chile - Copa Chile, Group E",Colo-Colo,Deportes Recoleta,Colo-Colo — Deportes Recoleta,,,totals,Меньше,under,,3.5,1.89,5.0,lost,lost,False,0.0,0.0,,,,,,,direct,2026-07-08T01:07:37.708637+00:00,settled,,,,118.24,sstats,Finished,Colo Colo vs Recoleta,2:2,,,,,,,11.478,,160,,,,,,,,,,,,,,,,,,,
,25da343458469776b4f3c6b844307167fd5b45ba,25da343458469776b4f3c6b844307167fd5b45ba,,,,True,,,False,soccer|denmark_u19|italy_u19|2026-07-08,,"International Youth - U19 European Championship, Group B",Denmark U19,Italy U19,Denmark U19 — Italy U19,,,totals,Меньше,under,,2.5,1.83,5.0,won,won,True,0.0,0.0,,,,,,,direct,2026-07-09T01:08:01.166359+00:00,settled,,,,106.0,sstats,Finished After Penalty,Denmark U19 vs Italy U19,0:0,,,,,,,9.847,,7,,,,,,,,,,,,,,,,,,,
,f03640036ac5f389b83725b32ffabf97f67fe82a,f03640036ac5f389b83725b32ffabf97f67fe82a,,,,True,,,False,soccer|el_nacional|cumbaya_fc|2026-07-08,,Ecuador - LigaPro Primera B,El Nacional,Cumbaya FC,El Nacional — Cumbaya FC,,,totals,Меньше,under,,2.5,1.9,5.0,won,won,True,0.0,0.0,,,,,,,direct,2026-07-09T01:08:01.166359+00:00,settled,,,,106.0,sstats,Finished,El Nacional vs Cumbayá,0:1,,,,,,,6.352,,2,,,,,,,,,,,,,,,,,,,
,aacaa1dba01a5eda8ec56fbed5e69a3f3e58bd62,aacaa1dba01a5eda8ec56fbed5e69a3f3e58bd62,,,,True,,,False,2026-07-08|kahibah|maitland,,"Australia - Northern NSW NPL, Reserves",Kahibah FC Reserve,Maitland FC Reserve,Kahibah FC Reserve — Maitland FC Reserve,,,totals,Меньше,under,,3.5,1.85,5.0,pending,pending,,,,,,,,,,,2026-07-09T07:08:23.636219+00:00,missing_score,,,,112.32,sstats,Postponed,Kahibah vs Maitland,,,,,,,,6.961,,28,,,,,,,,,,,,,,,,,,,
,a59b0e47c771de9160033437e942004bc37de54c,a59b0e47c771de9160033437e942004bc37de54c,,,,True,,,False,soccer|klaksvik|bissen|2026-07-07,,"International Clubs - UEFA Champions League, Qualification",Klaksvik,Bissen,Klaksvik — Bissen,,,totals,Больше,over,,2.5,1.89,5.0,won,won,True,0.0,0.0,,,,,,,direct,2026-07-08T01:07:37.708637+00:00,settled,,,,116.72,sstats,Finished,KI Klaksvik vs Atert Bissen,2:1,,,,,,,7.227,,314,,,,,,,,,,,,,,,,,,,
,df2cbc3b66287bc72b8f0d1f23fa0b439a0f5a4d,df2cbc3b66287bc72b8f0d1f23fa0b439a0f5a4d,,,,True,,,False,soccer|kuopion_palloseura|hjk_helsinki|2026-07-08,,"Finland - Suomen Cup, Women",Kuopion Palloseura,HJK Helsinki,Kuopion Palloseura — HJK Helsinki,,,totals,Меньше,under,,2.5,2.2,5.0,pending,pending,,,,,,,,,,,2026-07-09T07:08:23.636219+00:00,no_match,,no_positive_candidate,70.0,,,,,,,,,,,,7.963,,7,,,,,,,,,,,,,,,,,,,
,434b07b3ea8ec5ed99e8cc4d8b6484190c92d8d9,434b07b3ea8ec5ed99e8cc4d8b6484190c92d8d9,,,,True,,,False,soccer|miramar_misiones|atenas_san_carlos|2026-07-06,,Uruguay - Segunda Division,Miramar Misiones,Atenas San Carlos,Miramar Misiones — Atenas San Carlos,,,totals,Больше,over,,2.0,1.825,5.0,push,push,,0.0,0.0,,,,,,,direct,2026-07-08T01:07:37.708637+00:00,settled,,,,116.72,sstats,Finished,Miramar vs Atenas,1:1,,,,,,,10.669,,138,,,,,,,,,,,,,,,,,,,
,b5331cbd09d5ccea687e8d5728dc6196f1decb67,b5331cbd09d5ccea687e8d5728dc6196f1decb67,,,,True,,,False,soccer|sacramento_republic|rhode_island_fc|2026-07-09,,"USA - USL, Championship",Sacramento Republic,Rhode Island FC,Sacramento Republic — Rhode Island FC,,,totals,Больше,over,,2.5,2.16,5.0,pending,pending,,,,,,,,,,,2026-07-09T07:08:23.636219+00:00,no_match,,no_positive_candidate,70.0,,,,,,,,,,,,6.048,,3,,,,,,,,,,,,,,,,,,,
,b1bd773bdf684d13eb5133e75a98b9bd1b64708d,b1bd773bdf684d13eb5133e75a98b9bd1b64708d,,,,True,,,False,soccer|shelbourne|celtic|2026-07-07,,International Clubs - Club Friendly Games,Shelbourne,Celtic,Shelbourne — Celtic,,,totals,Меньше,under,,2.5,3.05,5.0,won,won,True,0.0,0.0,,,,,,,direct,2026-07-08T01:07:37.708637+00:00,settled,,,,106.0,sstats,Finished,Shelbourne vs Celtic,1:1,,,,,,,9.426,,137,,,,,,,,,,,,,,,,,,,
,a22492ca4e9fbdd6d1c2ae413bcdde0ac4d0119d,a22492ca4e9fbdd6d1c2ae413bcdde0ac4d0119d,,,,True,,,False,soccer|union_de_santa_fe|san_lorenzo|2026-07-08,,"Argentina - Primera Division A, Women, Apertura",Union de Santa Fe,San Lorenzo,Union de Santa Fe — San Lorenzo,,,totals,Меньше,under,,2.5,2.075,5.0,pending,pending,,,,,,,,,,,2026-07-09T07:08:23.636219+00:00,no_match,,no_positive_candidate,70.0,,,,,,,,,,,,11.665,,2,,,,,,,,,,,,,,,,,,,
