match_key,market_key,family,selection,point,team_side,best_price,consensus_fair_odds,books,sources,snapshots_count,dispersion_pct,steam_score
soccer|harju jk laagri|paide|2026-06-17,h2h|paide||,h2h,Paide,,,1.53,1.478,"[""Bet365"", ""Unibet"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",4,5.563,
soccer|harju jk laagri|paide|2026-06-17,h2h|draw||,h2h,Draw,,,4.8,4.2602,"[""Bet365"", ""Unibet"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",4,4.167,
soccer|harju jk laagri|paide|2026-06-17,h2h|harju jk laagri||,h2h,Harju JK Laagri,,,6.4,5.6503,"[""Bet365"", ""Unibet"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",4,3.983,
soccer|harju jk laagri|paide|2026-06-17,dnb|paide||,dnb,Paide,,,1.22,1.198,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,3.796,
soccer|harju jk laagri|paide|2026-06-17,dnb|harju jk laagri||,dnb,Harju JK Laagri,,,5.0,4.3942,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,6.316,
soccer|harju jk laagri|paide|2026-06-17,spreads|paide|-1.25|home,spreads,Paide,-1.25,home,2.1,2.0415,"[""Bet365"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",3,2.381,
soccer|harju jk laagri|paide|2026-06-17,spreads|harju jk laagri|1.25|away,spreads,Harju JK Laagri,1.25,away,1.84,1.808,"[""Bet365"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",3,1.99,
soccer|harju jk laagri|paide|2026-06-17,totals|over|3.00|,totals,Over,3.0,,1.97,1.9277,"[""Bet365"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",3,2.572,
soccer|harju jk laagri|paide|2026-06-17,totals|under|3.00|,totals,Under,3.0,,2.03,1.9333,"[""Bet365"", ""Betfair Exchange"", ""Sbobet""]","[""odds_api_io""]",3,4.793,
soccer|harju jk laagri|paide|2026-06-17,totals|over|2.50|,totals,Over,2.5,,1.61,1.5571,"[""Bet365"", ""Unibet"", ""Betfair Exchange""]","[""odds_api_io""]",3,5.002,
