report_date,prediction_id,fingerprint,published_at,published_at_local,published_date_local,telegram_sent,tracking_mode,tracking_reason,shadow_tracked,match_key,sport_key,league_name,home_team,away_team,commence_time_utc,commence_time_local,family,selection,selection_key,team_side,point,odds,stake_amount,status,result,is_hit,pnl,roi_pct,final_score,final_home_goals,final_away_goals,settled_at,settlement_source,settlement_note,settlement_result_orientation,settlement_attempt_at,settlement_attempt_reason,settlement_grade_issue,settlement_match_failure,settlement_match_threshold,settlement_best_score,settlement_best_source,settlement_best_status,settlement_best_event,settlement_best_scoreline,settlement_matched_via,settlement_manual_note,model_probability_pct,adjusted_probability_pct,market_probability_pct,edge_pct,ev_pct,confidence,books_count,sources_count,model_mode,publication_score,expected_home,expected_away,total_xg,selected_bookmaker,selected_source,context_source,context_sources,context_confidence,context_mode,market_movement,best_vs_consensus_edge_pct,consensus_dispersion_pct,match_tier,quality_status,quality_score,quality_reasons
2026-04-21,soccer|beijing guoan|shenzhen peng city|2026-04-21|dnb|home|||2026-04-21T11:00:00+00:00,soccer|beijing guoan|shenzhen peng city|2026-04-21|dnb|home|||2026-04-21T11:00:00+00:00,2026-04-21T06:35:39.800203+00:00,2026-04-21T09:35:39.800203+03:00,2026-04-21,True,,,False,soccer|beijing guoan|shenzhen peng city|2026-04-21,soccer,China - Chinese Super League,Shenzhen Peng City,Beijing Guoan,2026-04-21T11:00:00+00:00,2026-04-21T14:00:00+03:00,dnb,Shenzhen Peng City (0),home,,,2.75,31.0,lost,lost,False,-31.0,-100.0,0:1,0.0,1.0,2026-04-21T14:09:12.588766+00:00,api_football,Shenzhen Peng City 0:1 Beijing Guoan,direct,2026-04-21T14:09:12.588766+00:00,settled,,,,102.16,api_football,FT,Sichuan Jiuniu vs Beijing Guoan,0:1,,,66.16,49.68,37.34,12.336,36.609,72.25,2,1,h2h_ensemble,77.506,1.93,1.438,3.368,Bet365,odds_api_io,api_football,"[""api_football""]",69.0,,insufficient_history,10.847,8.081,mid,passed_quality,89.96,
2026-04-21,soccer|beijing guoan|shenzhen peng city|2026-04-21|h2h|home|||2026-04-21T11:00:00+00:00,soccer|beijing guoan|shenzhen peng city|2026-04-21|h2h|home|||2026-04-21T11:00:00+00:00,2026-04-21T10:17:21.778101+00:00,2026-04-21T13:17:21.778101+03:00,2026-04-21,True,,,False,soccer|beijing guoan|shenzhen peng city|2026-04-21,soccer,China - Chinese Super League,Shenzhen Peng City,Beijing Guoan,2026-04-21T11:00:00+00:00,2026-04-21T14:00:00+03:00,h2h,Shenzhen Peng City,home,,,4.333,23.0,lost,lost,False,-23.0,-100.0,0:1,0.0,1.0,2026-04-21T14:09:12.588766+00:00,api_football,Shenzhen Peng City 0:1 Beijing Guoan,direct,2026-04-21T14:09:12.588766+00:00,settled,,,,102.16,api_football,FT,Sichuan Jiuniu vs Beijing Guoan,0:1,,,46.14,31.67,22.93,8.74,37.225,69.58,2,1,soccer_context,81.505,2.091,1.488,3.579,Bet365,odds_api_io,api_football,,69.0,,drift,6.848,3.237,mid,passed_quality,89.973,
2026-04-21,soccer|chongqing tonglianglong|shanghai port|2026-04-21|h2h|away|||2026-04-21T12:00:00+00:00,soccer|chongqing tonglianglong|shanghai port|2026-04-21|h2h|away|||2026-04-21T12:00:00+00:00,2026-04-21T10:34:55.951416+00:00,2026-04-21T13:34:55.951416+03:00,2026-04-21,True,,,False,soccer|chongqing tonglianglong|shanghai port|2026-04-21,soccer,China - Chinese Super League,Shanghai Port FC,Chongqing Tonglianglong FC,2026-04-21T12:00:00+00:00,2026-04-21T15:00:00+03:00,h2h,Chongqing Tonglianglong FC,away,,,3.9,17.0,won,won,True,49.3,290.0,1:2,1.0,2.0,2026-04-21T15:09:32.142331+00:00,api_football,Shanghai Port FC 1:2 Chongqing Tonglianglong FC,direct,2026-04-21T15:09:32.142331+00:00,settled,,,,109.08,api_football,FT,SHANGHAI SIPG vs Chongqing Tongliang Long,1:2,,,42.72,31.67,25.39,6.286,23.518,73.16,2,1,soccer_context,63.269,1.114,1.615,2.729,Bet365,odds_api_io,ensemble,,75.17,team_form,flat,6.368,3.344,mid,passed_quality,87.272,
2026-04-21,soccer|machida zelvia|shabab al ahli dubai|2026-04-21|h2h|away|||2026-04-21T16:15:00+00:00,soccer|machida zelvia|shabab al ahli dubai|2026-04-21|h2h|away|||2026-04-21T16:15:00+00:00,2026-04-21T11:46:07.307894+00:00,2026-04-21T14:46:07.307894+03:00,2026-04-21,True,,,False,soccer|machida zelvia|shabab al ahli dubai|2026-04-21,soccer,International Clubs - AFC Champions League Elite,Machida Zelvia,Shabab Al Ahli Dubai,2026-04-21T16:15:00+00:00,2026-04-21T19:15:00+03:00,h2h,Shabab Al Ahli Dubai,away,,,2.85,10.0,void,void,,0.0,0.0,,,,2026-04-21T12:14:35.745445+00:00,manual_quality_guard,invalidated_by_high_odds_h2h_single_source_shrink_guard,,,,,,,,,,,,,,53.54,38.18,33.03,5.156,8.826,67.24,2,1,soccer_context,35.686,0.785,1.628,2.413,Unibet,odds_api_io,sstats_form,,65.0,team_form,insufficient_history,2.844,1.949,mid,passed_quality,68.234,
2026-04-21,soccer|machida zelvia|shabab al ahli dubai|2026-04-21|dnb|away|||2026-04-21T16:15:00+00:00,soccer|machida zelvia|shabab al ahli dubai|2026-04-21|dnb|away|||2026-04-21T16:15:00+00:00,2026-04-21T12:29:34.708291+00:00,2026-04-21T15:29:34.708291+03:00,2026-04-21,True,,,False,soccer|machida zelvia|shabab al ahli dubai|2026-04-21,soccer,International Clubs - AFC Champions League Elite,Machida Zelvia,Shabab Al Ahli Dubai,2026-04-21T16:15:00+00:00,2026-04-21T19:15:00+03:00,dnb,Shabab Al Ahli Dubai (0),away,,,2.05,10.0,lost,lost,False,-10.0,-100.0,1:0,1.0,0.0,2026-04-22T11:15:06.526452+00:00,api_football,Machida Zelvia 1:0 Shabab Al Ahli Dubai,direct,2026-04-22T11:15:06.526452+00:00,settled,,,,106.0,api_football,FT,Machida Zelvia vs Shabab Al Ahli Dubai,1:0,,,67.46,51.25,45.62,5.639,5.07,67.45,2,1,h2h_ensemble,29.732,0.785,1.628,2.413,Unibet,odds_api_io,sstats_form,,65.0,team_form,flat,1.28,1.22,mid,passed_quality,65.241,
2026-04-21,soccer|coventry city|portsmouth|2026-04-21|dnb|away|||2026-04-21T18:45:00+00:00,soccer|coventry city|portsmouth|2026-04-21|dnb|away|||2026-04-21T18:45:00+00:00,2026-04-21T17:39:59.752204+00:00,2026-04-21T20:39:59.752204+03:00,2026-04-21,True,,,False,soccer|coventry city|portsmouth|2026-04-21,soccer,England - Championship,Coventry City,Portsmouth FC,2026-04-21T18:45:00+00:00,2026-04-21T21:45:00+03:00,dnb,Portsmouth FC (0),away,,,4.0,14.0,lost,lost,False,-14.0,-100.0,5:1,5.0,1.0,2026-04-22T11:15:06.526452+00:00,api_football,Coventry City 5:1 Portsmouth FC,direct,2026-04-22T11:15:06.526452+00:00,settled,,,,118.24,api_football,FT,Coventry vs Portsmouth,5:1,,,42.41,33.11,26.98,6.127,32.422,72.0,2,1,h2h_ensemble,71.328,1.436,1.075,2.512,Bet365,odds_api_io,ensemble,,76.0,ensemble,flat,16.272,8.333,mid,passed_quality,90.135,
2026-04-21,soccer|hull city|leicester city|2026-04-21|dnb|away|||2026-04-21T18:45:00+00:00,soccer|hull city|leicester city|2026-04-21|dnb|away|||2026-04-21T18:45:00+00:00,2026-04-21T15:27:24.790636+00:00,2026-04-21T18:27:24.790636+03:00,2026-04-21,True,,,False,soccer|hull city|leicester city|2026-04-21,soccer,England - Championship,Leicester City,Hull City,2026-04-21T18:45:00+00:00,2026-04-21T21:45:00+03:00,dnb,Hull City (0),away,,,2.625,63.0,push,push,,0.0,0.0,2:2,2.0,2.0,2026-04-22T11:15:06.526452+00:00,api_football,Leicester City 2:2 Hull City,direct,2026-04-22T11:15:06.526452+00:00,settled,,,,118.24,api_football,FT,Leicester vs Hull City,2:2,,,71.53,52.25,37.38,14.866,37.151,75.52,2,1,h2h_ensemble,85.854,1.373,1.683,3.056,Bet365,odds_api_io,ensemble,,76.0,bzzoiro_prediction,flat,5.71,4.458,mid,passed_quality,89.057,
2026-04-21,soccer|bristol city|southampton|2026-04-21|btts|yes|||2026-04-21T18:45:00+00:00,soccer|bristol city|southampton|2026-04-21|btts|yes|||2026-04-21T18:45:00+00:00,2026-04-21T16:29:02.961738+00:00,2026-04-21T19:29:02.961738+03:00,2026-04-21,True,,,False,soccer|bristol city|southampton|2026-04-21,soccer,England - Championship,Southampton FC,Bristol City,2026-04-21T18:45:00+00:00,2026-04-21T21:45:00+03:00,btts,Обе забьют: Да,yes,,,1.909,10.0,won,won,True,9.09,90.9,2:2,2.0,2.0,2026-04-22T11:15:06.526452+00:00,api_football,Southampton FC 2:2 Bristol City,direct,2026-04-22T11:15:06.526452+00:00,settled,,,,106.0,api_football,FT,Southampton vs Bristol City,2:2,,,59.77,53.45,49.27,4.183,2.033,71.82,2,1,btts_poisson,29.774,1.787,1.059,2.845,Bet365,odds_api_io,ensemble,,76.0,bzzoiro_prediction,drift,1.559,1.671,mid,passed_quality,68.624,
2026-04-21,soccer|barnsley|stevenage|2026-04-21|dnb|away|||2026-04-21T18:45:00+00:00,soccer|barnsley|stevenage|2026-04-21|dnb|away|||2026-04-21T18:45:00+00:00,2026-04-21T15:27:24.790750+00:00,2026-04-21T18:27:24.790750+03:00,2026-04-21,True,,,False,soccer|barnsley|stevenage|2026-04-21,soccer,England - League One,Stevenage FC,Barnsley FC,2026-04-21T18:45:00+00:00,2026-04-21T21:45:00+03:00,dnb,Barnsley FC (0),away,,,3.25,46.0,lost,lost,False,-46.0,-100.0,1:0,1.0,0.0,2026-04-22T11:15:06.526452+00:00,api_football,Stevenage FC 1:0 Barnsley FC,direct,2026-04-22T11:15:06.526452+00:00,settled,,,,106.0,api_football,FT,Stevenage vs Barnsley,1:0,,,54.22,39.56,30.08,9.476,28.559,74.21,2,1,h2h_ensemble,69.777,1.171,1.576,2.747,Bet365,odds_api_io,ensemble,,76.0,team_form,flat,4.964,3.129,mid,passed_quality,90.814,
2026-04-21,soccer|watford|west bromwich albion|2026-04-21|dnb|away|||2026-04-21T18:45:00+00:00,soccer|watford|west bromwich albion|2026-04-21|dnb|away|||2026-04-21T18:45:00+00:00,2026-04-21T15:55:54.246555+00:00,2026-04-21T18:55:54.246555+03:00,2026-04-21,True,,,False,soccer|watford|west bromwich albion|2026-04-21,soccer,England - Championship,West Bromwich Albion,Watford FC,2026-04-21T18:45:00+00:00,2026-04-21T21:45:00+03:00,dnb,Watford FC (0),away,,,3.5,13.0,lost,lost,False,-13.0,-100.0,3:0,3.0,0.0,2026-04-22T11:15:06.526452+00:00,api_football,West Bromwich Albion 3:0 Watford FC,direct,2026-04-22T11:15:06.526452+00:00,settled,,,,118.24,api_football,FT,West Brom vs Watford,3:0,,,47.12,35.81,27.79,8.02,25.346,74.08,2,1,h2h_ensemble,64.748,1.199,1.183,2.382,Bet365,odds_api_io,ensemble,,76.0,bzzoiro_prediction,flat,4.578,2.679,mid,passed_quality,90.135,
