match_key,market_key,provider,bookmaker,family,selection,price,observed_at,point,team_side,source_event_id,metadata,schema_version
soccer|fortaleza|independiente santa fe|2026-08-20,h2h|independiente santa fe||,odds_api_io,Bet365,h2h,Independiente Santa Fe,1.285,2026-08-20T17:08:12.641019+00:00,,,,"{""configured_bookmakers"": ""Bet365,Unibet"", ""daily_coverage_cache_reused"": true, ""entitlement_fallback_used"": false, ""fetched_at_utc"": ""2026-08-20T17:08:12.641019+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|fortaleza|independiente santa fe|2026-08-20,h2h|draw||,odds_api_io,Bet365,h2h,Draw,4.75,2026-08-20T17:08:12.641019+00:00,,,,"{""configured_bookmakers"": ""Bet365,Unibet"", ""daily_coverage_cache_reused"": true, ""entitlement_fallback_used"": false, ""fetched_at_utc"": ""2026-08-20T17:08:12.641019+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|fortaleza|independiente santa fe|2026-08-20,h2h|fortaleza fc||,odds_api_io,Bet365,h2h,Fortaleza FC,9.0,2026-08-20T17:08:12.641019+00:00,,,,"{""configured_bookmakers"": ""Bet365,Unibet"", ""daily_coverage_cache_reused"": true, ""entitlement_fallback_used"": false, ""fetched_at_utc"": ""2026-08-20T17:08:12.641019+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|fortaleza|independiente santa fe|2026-08-20,dnb|independiente santa fe||,odds_api_io,Bet365,dnb,Independiente Santa Fe,1.062,2026-08-20T17:08:12.641019+00:00,,,,"{""configured_bookmakers"": ""Bet365,Unibet"", ""daily_coverage_cache_reused"": true, ""entitlement_fallback_used"": false, ""fetched_at_utc"": ""2026-08-20T17:08:12.641019+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|fortaleza|independiente santa fe|2026-08-20,dnb|fortaleza fc||,odds_api_io,Bet365,dnb,Fortaleza FC,8.0,2026-08-20T17:08:12.641019+00:00,,,,"{""configured_bookmakers"": ""Bet365,Unibet"", ""daily_coverage_cache_reused"": true, ""entitlement_fallback_used"": false, ""fetched_at_utc"": ""2026-08-20T17:08:12.641019+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|fortaleza|independiente santa fe|2026-08-20,spreads|independiente santa fe|-3.00|home,odds_api_io,Bet365,spreads,Independiente Santa Fe,4.8,2026-08-20T17:08:12.641019+00:00,-3.0,home,,"{""configured_bookmakers"": ""Bet365,Unibet"", ""daily_coverage_cache_reused"": true, ""entitlement_fallback_used"": false, ""fetched_at_utc"": ""2026-08-20T17:08:12.641019+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|fortaleza|independiente santa fe|2026-08-20,spreads|fortaleza fc|3.00|away,odds_api_io,Bet365,spreads,Fortaleza FC,1.175,2026-08-20T17:08:12.641019+00:00,3.0,away,,"{""configured_bookmakers"": ""Bet365,Unibet"", ""daily_coverage_cache_reused"": true, ""entitlement_fallback_used"": false, ""fetched_at_utc"": ""2026-08-20T17:08:12.641019+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|fortaleza|independiente santa fe|2026-08-20,spreads|independiente santa fe|-1.50|home,odds_api_io,Bet365,spreads,Independiente Santa Fe,1.95,2026-08-20T17:08:12.641019+00:00,-1.5,home,,"{""configured_bookmakers"": ""Bet365,Unibet"", ""daily_coverage_cache_reused"": true, ""entitlement_fallback_used"": false, ""fetched_at_utc"": ""2026-08-20T17:08:12.641019+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|fortaleza|independiente santa fe|2026-08-20,spreads|fortaleza fc|1.50|away,odds_api_io,Bet365,spreads,Fortaleza FC,1.85,2026-08-20T17:08:12.641019+00:00,1.5,away,,"{""configured_bookmakers"": ""Bet365,Unibet"", ""daily_coverage_cache_reused"": true, ""entitlement_fallback_used"": false, ""fetched_at_utc"": ""2026-08-20T17:08:12.641019+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""requested_bookmakers"": ""Bet365,Unibet""}",1
soccer|fortaleza|independiente santa fe|2026-08-20,spreads|independiente santa fe|-3.50|home,odds_api_io,Bet365,spreads,Independiente Santa Fe,5.75,2026-08-20T17:08:12.641019+00:00,-3.5,home,,"{""configured_bookmakers"": ""Bet365,Unibet"", ""daily_coverage_cache_reused"": true, ""entitlement_fallback_used"": false, ""fetched_at_utc"": ""2026-08-20T17:08:12.641019+00:00"", ""odds_api_io"": true, ""odds_api_io_account"": ""account1"", ""requested_bookmakers"": ""Bet365,Unibet""}",1
