match_key,source,source_event_id,sport_key,league_name,home_team,away_team,commence_time,tier,metadata,forecast_status,forecast_family,forecast_selection,forecast_selection_key,forecast_team_side,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|genesis pn|juticalpa|2026-09-07,day_inventory,74151038,soccer,"Honduras - Liga Nacional, Apertura",Juticalpa FC,CD Genesis PN,2026-09-07T01:30:00+00:00,mid,"{""bookmaker_backfill_source"": ""runtime_offer_context_artifacts_v2"", ""bookmaker_backfill_updated_at_utc"": ""2026-09-06T21:24:01.861891+00:00"", ""books_count"": 0, ""competition"": ""Honduras - Liga Nacional, Apertura"", ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""core_inventory"": true, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""context_source_count"": 0, ""context_sources"": [], ""context_sources_count"": 2, ""daily_coverage_evidence_synced"": false, ""fixture_core"": true, ""fixture_source_2plus"": true, ""form"": true, ""form_sources_count"": 1, ""news"": false, ""odds"": false, ""odds_2plus_sources"": false, ""odds_source_count"": 1, ""odds_sources"": [], ""odds_sources_count"": 1, ""ready_for_model"": false, ""strict_coverage_ready"": false, ""weather"": false, ""xg"": true, ""xg_sources_count"": 1}, ""day_inventory_path"": "".data/day_inventory/2026-09-07.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": ""2026-09-06T21:24:46.881104+00:00"", ""last_fixture_refresh_utc"": ""2026-09-06T21:18:26.394554+00:00"", ""last_odds_refresh_utc"": ""2026-09-06T21:24:07.632930+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""74151038"", ""sstats"": ""1636802""}, ""fixture_sources_count"": 2, ""has_current_odds_provider"": true, ""independent_odds_sources_count"": 0, ""odds_api_io_id"": 74151038, ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""provider_source_ids"": {""odds_api_io"": ""74151038""}, ""raw_event"": {""away"": ""CD Genesis PN"", ""awayId"": 1225877, ""date"": ""2026-09-07T01:30:00Z"", ""home"": ""Juticalpa FC"", ""homeId"": 218210, ""id"": 74151038, ""league"": {""name"": ""Honduras - Liga Nacional, Apertura"", ""slug"": ""honduras-liga-nacional-apertura""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""source_evidence_samples"": [{""deep_ok"": true, ""detail_ok"": false, ""game_id"": ""1636802"", ""source"": ""latest-sstats-deep-inventory-enrichment.json""}], ""source_evidence_updated_utc"": ""2026-09-06T21:24:46.835013+00:00"", ""sources_seen"": ""odds_api_io"", ""verified_bookmakers"": [], ""verified_context_sources"": [], ""verified_odds_sources"": []}",,totals,Меньше,under,,2.5,,Bet365,odds_api_io,57.78,55.34,53.58,,,64.32,,,market_simple_totals,22.368,,,,market_signal,,insufficient_history,,,,,,
soccer|ispe|mahar sagaing united|2026-09-07,day_inventory,73884802,soccer,Myanmar - National League,Ispe FC,Mahar Sagaing United FC,2026-09-07T09:00:00+00:00,mid,"{""bookmaker_backfill_source"": ""runtime_offer_context_artifacts_v2"", ""bookmaker_backfill_updated_at_utc"": ""2026-09-06T21:24:01.862975+00:00"", ""books_count"": 0, ""competition"": ""Myanmar - National League"", ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""core_inventory"": true, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""context_source_count"": 0, ""context_sources"": [], ""context_sources_count"": 2, ""daily_coverage_evidence_synced"": false, ""fixture_core"": true, ""fixture_source_2plus"": true, ""form"": true, ""form_sources_count"": 1, ""news"": false, ""odds"": false, ""odds_2plus_sources"": false, ""odds_source_count"": 1, ""odds_sources"": [], ""odds_sources_count"": 1, ""ready_for_model"": false, ""strict_coverage_ready"": false, ""weather"": false, ""xg"": true, ""xg_sources_count"": 1}, ""day_inventory_path"": "".data/day_inventory/2026-09-07.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": ""2026-09-06T21:24:46.881104+00:00"", ""last_fixture_refresh_utc"": ""2026-09-06T21:18:26.394554+00:00"", ""last_odds_refresh_utc"": ""2026-09-06T21:24:07.632930+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""73884802"", ""sstats"": ""1634834""}, ""fixture_sources_count"": 2, ""has_current_odds_provider"": true, ""independent_odds_sources_count"": 0, ""odds_api_io_id"": 73884802, ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""provider_source_ids"": {""odds_api_io"": ""73884802""}, ""raw_event"": {""away"": ""Mahar Sagaing United FC"", ""awayId"": 403225, ""date"": ""2026-09-07T09:00:00Z"", ""home"": ""Ispe FC"", ""homeId"": 539595, ""id"": 73884802, ""league"": {""name"": ""Myanmar - National League"", ""slug"": ""myanmar-national-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""source_evidence_samples"": [{""deep_ok"": true, ""detail_ok"": false, ""game_id"": ""1634834"", ""source"": ""latest-sstats-deep-inventory-enrichment.json""}], ""source_evidence_updated_utc"": ""2026-09-06T21:24:46.835013+00:00"", ""sources_seen"": ""odds_api_io"", ""verified_bookmakers"": [], ""verified_context_sources"": [], ""verified_odds_sources"": []}",,spreads,Ispe FC,home,home,-0.5,,Bet365,odds_api_io,50.9,50.16,50.0,,,53.09,,,market_simple_spreads,14.63,,,,market_signal,,insufficient_history,,,,,,
soccer|kattaqorgon|respublika football academy|2026-09-07,day_inventory,72217562,soccer,Uzbekistan - Pro Liga,FC Kattaqorgon,Respublika Football Academy,2026-09-07T11:00:00+00:00,mid,"{""bookmaker_backfill_source"": ""runtime_offer_context_artifacts_v2"", ""bookmaker_backfill_updated_at_utc"": ""2026-09-06T21:25:05.753260+00:00"", ""books_count"": 0, ""competition"": ""Uzbekistan - Pro Liga"", ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""core_inventory"": true, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""context_source_count"": 0, ""context_sources"": [], ""context_sources_count"": 2, ""daily_coverage_evidence_synced"": false, ""fixture_core"": true, ""fixture_source_2plus"": true, ""form"": true, ""form_sources_count"": 1, ""news"": false, ""odds"": false, ""odds_2plus_sources"": false, ""odds_source_count"": 1, ""odds_sources"": [], ""odds_sources_count"": 1, ""ready_for_model"": false, ""strict_coverage_ready"": false, ""weather"": false, ""xg"": true, ""xg_sources_count"": 1}, ""day_inventory_path"": "".data/day_inventory/2026-09-07.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": ""2026-09-06T21:24:46.881104+00:00"", ""last_fixture_refresh_utc"": ""2026-09-06T21:18:26.394554+00:00"", ""last_odds_refresh_utc"": ""2026-09-06T21:24:07.632930+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""72217562"", ""sstats"": ""1531092""}, ""fixture_sources_count"": 2, ""has_current_odds_provider"": true, ""independent_odds_sources_count"": 0, ""odds_api_io_id"": 72217562, ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""provider_source_ids"": {""odds_api_io"": ""72217562""}, ""raw_event"": {""away"": ""Respublika Football Academy"", ""awayId"": 1332870, ""date"": ""2026-09-07T11:00:00Z"", ""home"": ""FC Kattaqorgon"", ""homeId"": 1332866, ""id"": 72217562, ""league"": {""name"": ""Uzbekistan - Pro Liga"", ""slug"": ""uzbekistan-pro-liga""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""source_evidence_samples"": [{""deep_ok"": true, ""detail_ok"": false, ""game_id"": ""1531092"", ""source"": ""latest-sstats-deep-inventory-enrichment.json""}], ""source_evidence_updated_utc"": ""2026-09-06T21:24:46.835013+00:00"", ""sources_seen"": ""odds_api_io"", ""verified_bookmakers"": [], ""verified_context_sources"": [], ""verified_odds_sources"": []}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|izhevsk|orenburg 2|2026-09-07,day_inventory,74155742,soccer,"Russia - 2. Liga, Group 4, Relegation Round",FC Orenburg-2,FK Izhevsk,2026-09-07T11:00:00+00:00,mid,"{""bookmaker_backfill_source"": ""runtime_offer_context_artifacts_v2"", ""bookmaker_backfill_updated_at_utc"": ""2026-09-06T21:25:05.753099+00:00"", ""books_count"": 0, ""competition"": ""Russia - 2. Liga, Group 4, Relegation Round"", ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""core_inventory"": true, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""context_source_count"": 0, ""context_sources"": [], ""context_sources_count"": 2, ""daily_coverage_evidence_synced"": false, ""fixture_core"": true, ""fixture_source_2plus"": true, ""form"": true, ""form_sources_count"": 1, ""news"": false, ""odds"": false, ""odds_2plus_sources"": false, ""odds_source_count"": 1, ""odds_sources"": [], ""odds_sources_count"": 1, ""ready_for_model"": false, ""strict_coverage_ready"": false, ""weather"": false, ""xg"": true, ""xg_sources_count"": 1}, ""day_inventory_path"": "".data/day_inventory/2026-09-07.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": ""2026-09-06T21:24:46.881104+00:00"", ""last_fixture_refresh_utc"": ""2026-09-06T21:18:26.394554+00:00"", ""last_odds_refresh_utc"": ""2026-09-06T21:24:07.632930+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""74155742"", ""sstats"": ""1633989""}, ""fixture_sources_count"": 2, ""has_current_odds_provider"": true, ""independent_odds_sources_count"": 0, ""odds_api_io_id"": 74155742, ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""provider_source_ids"": {""odds_api_io"": ""74155742""}, ""raw_event"": {""away"": ""FK Izhevsk"", ""awayId"": 75195, ""date"": ""2026-09-07T11:00:00Z"", ""home"": ""FC Orenburg-2"", ""homeId"": 357472, ""id"": 74155742, ""league"": {""name"": ""Russia - 2. Liga, Group 4, Relegation Round"", ""slug"": ""russia-2-liga-group-4-relegation-round""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""source_evidence_samples"": [{""deep_ok"": true, ""detail_ok"": false, ""game_id"": ""1633989"", ""source"": ""latest-sstats-deep-inventory-enrichment.json""}], ""source_evidence_updated_utc"": ""2026-09-06T21:24:46.835013+00:00"", ""sources_seen"": ""odds_api_io"", ""verified_bookmakers"": [], ""verified_context_sources"": [], ""verified_odds_sources"": []}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|aral samali|fardu ferghana|2026-09-07,day_inventory,72217558,soccer,Uzbekistan - Pro Liga,Fardu Ferghana,FK Aral Samali,2026-09-07T11:00:00+00:00,mid,"{""bookmaker_backfill_source"": ""runtime_offer_context_artifacts_v2"", ""bookmaker_backfill_updated_at_utc"": ""2026-09-06T21:25:05.752949+00:00"", ""books_count"": 0, ""competition"": ""Uzbekistan - Pro Liga"", ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""core_inventory"": true, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""context_source_count"": 0, ""context_sources"": [], ""context_sources_count"": 2, ""daily_coverage_evidence_synced"": false, ""fixture_core"": true, ""fixture_source_2plus"": true, ""form"": true, ""form_sources_count"": 1, ""news"": false, ""odds"": false, ""odds_2plus_sources"": false, ""odds_source_count"": 1, ""odds_sources"": [], ""odds_sources_count"": 1, ""ready_for_model"": false, ""strict_coverage_ready"": false, ""weather"": false, ""xg"": true, ""xg_sources_count"": 1}, ""day_inventory_path"": "".data/day_inventory/2026-09-07.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": ""2026-09-06T21:24:46.881104+00:00"", ""last_fixture_refresh_utc"": ""2026-09-06T21:18:26.394554+00:00"", ""last_odds_refresh_utc"": ""2026-09-06T21:24:07.632930+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""72217558"", ""sstats"": ""1530995""}, ""fixture_sources_count"": 2, ""has_current_odds_provider"": true, ""independent_odds_sources_count"": 0, ""odds_api_io_id"": 72217558, ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""provider_source_ids"": {""odds_api_io"": ""72217558""}, ""raw_event"": {""away"": ""FK Aral Samali"", ""awayId"": 325143, ""date"": ""2026-09-07T11:00:00Z"", ""home"": ""Fardu Ferghana"", ""homeId"": 467081, ""id"": 72217558, ""league"": {""name"": ""Uzbekistan - Pro Liga"", ""slug"": ""uzbekistan-pro-liga""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""source_evidence_samples"": [{""deep_ok"": true, ""detail_ok"": false, ""game_id"": ""1530995"", ""source"": ""latest-sstats-deep-inventory-enrichment.json""}], ""source_evidence_updated_utc"": ""2026-09-06T21:24:46.835013+00:00"", ""sources_seen"": ""odds_api_io"", ""verified_bookmakers"": [], ""verified_context_sources"": [], ""verified_odds_sources"": []}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|east bengal reserves|mohun bagan sg reserves|2026-09-07,day_inventory,74298652,soccer,"India - Calcutta Premier Division, Group A",East BengaL FC Reserves,Mohun Bagan SG Reserves,2026-09-07T11:30:00+00:00,mid,"{""bookmaker_backfill_source"": ""runtime_offer_context_artifacts_v2"", ""bookmaker_backfill_updated_at_utc"": ""2026-09-06T21:25:05.753589+00:00"", ""books_count"": 0, ""competition"": ""India - Calcutta Premier Division, Group A"", ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""core_inventory"": true, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""context_source_count"": 0, ""context_sources"": [], ""context_sources_count"": 2, ""daily_coverage_evidence_synced"": false, ""fixture_core"": true, ""fixture_source_2plus"": true, ""form"": true, ""form_sources_count"": 1, ""news"": false, ""odds"": false, ""odds_2plus_sources"": false, ""odds_source_count"": 1, ""odds_sources"": [], ""odds_sources_count"": 1, ""ready_for_model"": false, ""strict_coverage_ready"": false, ""weather"": false, ""xg"": true, ""xg_sources_count"": 1}, ""day_inventory_path"": "".data/day_inventory/2026-09-07.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": ""2026-09-06T21:24:46.881104+00:00"", ""last_fixture_refresh_utc"": ""2026-09-06T21:18:26.394554+00:00"", ""last_odds_refresh_utc"": ""2026-09-06T21:24:07.632930+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""74298652"", ""sstats"": ""1638253""}, ""fixture_sources_count"": 2, ""has_current_odds_provider"": true, ""independent_odds_sources_count"": 0, ""odds_api_io_id"": 74298652, ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""provider_source_ids"": {""odds_api_io"": ""74298652""}, ""raw_event"": {""away"": ""Mohun Bagan SG Reserves"", ""awayId"": 1027705, ""date"": ""2026-09-07T11:30:00Z"", ""home"": ""East BengaL FC Reserves"", ""homeId"": 998601, ""id"": 74298652, ""league"": {""name"": ""India - Calcutta Premier Division, Group A"", ""slug"": ""india-calcutta-premier-division-group-a""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""source_evidence_samples"": [{""deep_ok"": true, ""detail_ok"": false, ""game_id"": ""1638253"", ""source"": ""latest-sstats-deep-inventory-enrichment.json""}], ""source_evidence_updated_utc"": ""2026-09-06T21:24:46.835013+00:00"", ""sources_seen"": ""odds_api_io"", ""verified_bookmakers"": [], ""verified_context_sources"": [], ""verified_odds_sources"": []}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|andranik|pyunik yerevan 2|2026-09-07,day_inventory,74041844,soccer,Armenia - First League,Andranik,FC Pyunik Yerevan 2,2026-09-07T11:30:00+00:00,mid,"{""books_count"": 0, ""competition"": ""Armenia - First League"", ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""core_inventory"": true, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""context_source_count"": 0, ""context_sources"": [], ""context_sources_count"": 1, ""daily_coverage_evidence_synced"": false, ""fixture_core"": true, ""fixture_source_2plus"": true, ""form"": true, ""form_sources_count"": 1, ""news"": false, ""odds"": false, ""odds_2plus_sources"": false, ""odds_source_count"": 1, ""odds_sources"": [], ""odds_sources_count"": 1, ""ready_for_model"": false, ""strict_coverage_ready"": false, ""weather"": false, ""xg"": true, ""xg_sources_count"": 1}, ""day_inventory_path"": "".data/day_inventory/2026-09-07.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": ""2026-09-06T21:24:46.881104+00:00"", ""last_fixture_refresh_utc"": ""2026-09-06T21:18:26.394554+00:00"", ""last_odds_refresh_utc"": ""2026-09-06T21:24:07.632930+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""74041844"", ""sstats"": ""1605065""}, ""fixture_sources_count"": 2, ""has_current_odds_provider"": true, ""independent_odds_sources_count"": 0, ""odds_api_io_id"": 74041844, ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""provider_source_ids"": {""odds_api_io"": ""74041844""}, ""raw_event"": {""away"": ""FC Pyunik Yerevan 2"", ""awayId"": 36151, ""date"": ""2026-09-07T11:30:00Z"", ""home"": ""Andranik"", ""homeId"": 1036023, ""id"": 74041844, ""league"": {""name"": ""Armenia - First League"", ""slug"": ""armenia-first-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""source_evidence_samples"": [{""deep_ok"": true, ""detail_ok"": false, ""game_id"": ""1605065"", ""source"": ""latest-sstats-deep-inventory-enrichment.json""}], ""source_evidence_updated_utc"": ""2026-09-06T21:24:46.835013+00:00"", ""sources_seen"": ""odds_api_io"", ""verified_bookmakers"": [], ""verified_context_sources"": [], ""verified_odds_sources"": []}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|avshar ararat|noah yerevan 2|2026-09-07,day_inventory,74041846,soccer,Armenia - First League,Avshar Ararat FC,Noah Yerevan 2,2026-09-07T12:00:00+00:00,mid,"{""bookmaker_backfill_source"": ""runtime_offer_context_artifacts_v2"", ""bookmaker_backfill_updated_at_utc"": ""2026-09-06T21:25:05.754264+00:00"", ""books_count"": 0, ""competition"": ""Armenia - First League"", ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""core_inventory"": true, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""context_source_count"": 0, ""context_sources"": [], ""context_sources_count"": 2, ""daily_coverage_evidence_synced"": false, ""fixture_core"": true, ""fixture_source_2plus"": true, ""form"": true, ""form_sources_count"": 1, ""news"": false, ""odds"": false, ""odds_2plus_sources"": false, ""odds_source_count"": 1, ""odds_sources"": [], ""odds_sources_count"": 1, ""ready_for_model"": false, ""strict_coverage_ready"": false, ""weather"": false, ""xg"": true, ""xg_sources_count"": 1}, ""day_inventory_path"": "".data/day_inventory/2026-09-07.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": ""2026-09-06T21:24:46.881104+00:00"", ""last_fixture_refresh_utc"": ""2026-09-06T21:18:26.394554+00:00"", ""last_odds_refresh_utc"": ""2026-09-06T21:24:07.632930+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""74041846"", ""sstats"": ""1605066""}, ""fixture_sources_count"": 2, ""has_current_odds_provider"": true, ""independent_odds_sources_count"": 0, ""odds_api_io_id"": 74041846, ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""provider_source_ids"": {""odds_api_io"": ""74041846""}, ""raw_event"": {""away"": ""Noah Yerevan 2"", ""awayId"": 1036025, ""date"": ""2026-09-07T12:00:00Z"", ""home"": ""Avshar Ararat FC"", ""homeId"": 1175803, ""id"": 74041846, ""league"": {""name"": ""Armenia - First League"", ""slug"": ""armenia-first-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""source_evidence_samples"": [{""deep_ok"": true, ""detail_ok"": false, ""game_id"": ""1605066"", ""source"": ""latest-sstats-deep-inventory-enrichment.json""}], ""source_evidence_updated_utc"": ""2026-09-06T21:24:46.835013+00:00"", ""sources_seen"": ""odds_api_io"", ""verified_bookmakers"": [], ""verified_context_sources"": [], ""verified_odds_sources"": []}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|ararat yerevan 2|olympia yerevan|2026-09-07,day_inventory,74041848,soccer,Armenia - First League,FC Ararat Yerevan 2,Olympia Yerevan,2026-09-07T12:00:00+00:00,mid,"{""bookmaker_backfill_source"": ""runtime_offer_context_artifacts_v2"", ""bookmaker_backfill_updated_at_utc"": ""2026-09-06T21:25:05.754430+00:00"", ""books_count"": 0, ""competition"": ""Armenia - First League"", ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""core_inventory"": true, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""context_source_count"": 0, ""context_sources"": [], ""context_sources_count"": 2, ""daily_coverage_evidence_synced"": false, ""fixture_core"": true, ""fixture_source_2plus"": true, ""form"": true, ""form_sources_count"": 1, ""news"": false, ""odds"": false, ""odds_2plus_sources"": false, ""odds_source_count"": 1, ""odds_sources"": [], ""odds_sources_count"": 1, ""ready_for_model"": false, ""strict_coverage_ready"": false, ""weather"": false, ""xg"": true, ""xg_sources_count"": 1}, ""day_inventory_path"": "".data/day_inventory/2026-09-07.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": ""2026-09-06T21:24:46.881104+00:00"", ""last_fixture_refresh_utc"": ""2026-09-06T21:18:26.394554+00:00"", ""last_odds_refresh_utc"": ""2026-09-06T21:24:07.632930+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""74041848"", ""sstats"": ""1605067""}, ""fixture_sources_count"": 2, ""has_current_odds_provider"": true, ""independent_odds_sources_count"": 0, ""odds_api_io_id"": 74041848, ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""provider_source_ids"": {""odds_api_io"": ""74041848""}, ""raw_event"": {""away"": ""Olympia Yerevan"", ""awayId"": 1369466, ""date"": ""2026-09-07T12:00:00Z"", ""home"": ""FC Ararat Yerevan 2"", ""homeId"": 49607, ""id"": 74041848, ""league"": {""name"": ""Armenia - First League"", ""slug"": ""armenia-first-league""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""source_evidence_samples"": [{""deep_ok"": true, ""detail_ok"": false, ""game_id"": ""1605067"", ""source"": ""latest-sstats-deep-inventory-enrichment.json""}], ""source_evidence_updated_utc"": ""2026-09-06T21:24:46.835013+00:00"", ""sources_seen"": ""odds_api_io"", ""verified_bookmakers"": [], ""verified_context_sources"": [], ""verified_odds_sources"": []}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|sacramento state hornets|san jose state spartans|2026-09-07,day_inventory,73357046,soccer,USA - NCAA,San Jose State Spartans,Sacramento State Hornets,2026-09-07T02:00:00+00:00,mid,"{""bookmaker_backfill_source"": ""runtime_offer_context_artifacts_v2"", ""bookmaker_backfill_updated_at_utc"": ""2026-09-06T21:24:01.862320+00:00"", ""books_count"": 0, ""competition"": ""USA - NCAA"", ""confirmation_sources_count"": 0, ""context_sources_count"": 0, ""core_inventory"": true, ""day_inventory"": true, ""day_inventory_coverage"": {""context"": false, ""context_2plus_sources"": false, ""context_source_count"": 0, ""context_sources"": [], ""context_sources_count"": 2, ""daily_coverage_evidence_synced"": false, ""fixture_core"": true, ""form"": false, ""news"": false, ""odds"": false, ""odds_2plus_sources"": false, ""odds_source_count"": 1, ""odds_sources"": [], ""odds_sources_count"": 1, ""ready_for_model"": false, ""strict_coverage_ready"": false, ""weather"": false, ""xg"": false}, ""day_inventory_path"": "".data/day_inventory/2026-09-07.json"", ""day_inventory_refresh"": {""last_context_refresh_utc"": ""2026-09-06T21:24:07.632930+00:00"", ""last_fixture_refresh_utc"": ""2026-09-06T21:18:26.394554+00:00"", ""last_odds_refresh_utc"": ""2026-09-06T21:24:07.632930+00:00""}, ""day_inventory_source_ids"": {""odds_api_io"": ""73357046""}, ""fixture_sources_count"": 1, ""has_current_odds_provider"": true, ""independent_odds_sources_count"": 0, ""odds_api_io_id"": 73357046, ""odds_sources_count"": 0, ""price_confirmation_sources_count"": 0, ""price_sources_count"": 0, ""provider_source_ids"": {""odds_api_io"": ""73357046""}, ""raw_event"": {""away"": ""Sacramento State Hornets"", ""awayId"": 456887, ""date"": ""2026-09-07T02:00:00Z"", ""home"": ""San Jose State Spartans"", ""homeId"": 460753, ""id"": 73357046, ""league"": {""name"": ""USA - NCAA"", ""slug"": ""usa-ncaa""}, ""scores"": {""away"": 0, ""home"": 0}, ""sport"": {""name"": ""Football"", ""slug"": ""football""}, ""status"": ""pending""}, ""source_evidence_updated_utc"": ""2026-09-06T21:24:46.835013+00:00"", ""sources_seen"": ""odds_api_io"", ""verified_bookmakers"": [], ""verified_context_sources"": [], ""verified_odds_sources"": []}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
