polarity,segment,count,calibration_delta_probability,roi_pct,hit_rate_pct,avg_predicted_probability
positive,bookmaker:unknown,80,0.575,11.8,57.5,0.0
positive,prob:unknown,80,0.575,11.8,57.5,0.0
positive,context:sstats_form,17,0.1116,41.29,64.71,0.5354
positive,bookmaker:betfair,10,0.0854,22.5,60.0,0.5146
positive,odds:2.75-3.49,17,0.0853,56.82,47.06,0.3853
positive,prob:55-60,14,0.0745,20.14,64.29,0.5683
positive,league:other,80,0.0303,12.88,51.25,0.4822
positive,market:totals:over,57,0.0257,17.64,57.89,0.5533
positive,odds:1.70-2.04,62,0.0236,10.34,61.29,0.5893
positive,market:totals:under,107,0.0174,7.69,49.53,0.4779
positive,family:totals,164,0.0061,9.85,52.44,0.5183
negative,league:low,11,-0.1929,-9.96,27.27,0.4657
negative,market:spreads:away,11,-0.1805,-33.55,18.18,0.3624
negative,bookmaker:bet365,33,-0.175,-31.18,24.24,0.4174
negative,prob:30-35,12,-0.166,-37.08,16.67,0.3327
negative,prob:40-45,15,-0.1636,-26.07,26.67,0.4303
negative,family:spreads,28,-0.1632,-20.46,21.43,0.3774
negative,odds:3.50+,28,-0.1529,-20.14,21.43,0.3672
negative,market:spreads:home,17,-0.1519,-12.0,23.53,0.3872
negative,prob:50-55,17,-0.1108,-15.18,41.18,0.5225
negative,prob:35-40,25,-0.1028,-4.32,28.0,0.3828
negative,context:ensemble,22,-0.1023,-1.32,27.27,0.375
negative,prob:45-50,18,-0.0854,-10.28,38.89,0.4743
negative,bookmaker:betfair exchange,33,-0.0719,-13.18,39.39,0.4658
negative,context:market_signal,39,-0.0665,-11.64,41.03,0.4767
negative,odds:2.05-2.74,87,-0.0411,2.23,43.68,0.4779
