# Provider day discovery inventory merge
status: ok
inventory_path: .data/day_inventory/2026-06-13.json
aliases_written: .data/day_inventory/2026-06-13.json, .data/day_inventory/latest.json, .data/day_inventory/current.json, .data/day_inventory/today.json
canonical_rows_seen: 369
full_pool_used: True
matched_existing: 306
appended: 63
inventory_matches_after: 462

## Updated sample
- appended score=0.3446 | USA — Paraguay | providers=bzzoiro context=1 odds=None
- matched_existing score=1.0 | Metro Stars — Sturt Lions | providers=sstats context=None odds=None
- matched_existing score=0.9264 | Wollongong — Leichhardt | providers=sstats context=None odds=None
- matched_existing score=0.9732 | Bayside Argonauts — Box Hill Utd | providers=sstats context=None odds=None
- matched_existing score=1.0 | Dalian Kewei — Changchun Xidu | providers=sstats context=None odds=None
- matched_existing score=1.0 | Shanghai Second — Taian Tiankuang | providers=sstats context=None odds=None
- matched_existing score=0.9264 | Brezova — Tempo | providers=sstats context=None odds=None
- matched_existing score=0.9264 | FK Seko Louny — Tj Spoje Praha | providers=sstats context=None odds=None
- matched_existing score=0.9732 | Sokolov — Chomutov | providers=sstats context=None odds=None
- matched_existing score=0.9732 | Chlumec Nad Cidlinou — Myto | providers=sstats context=None odds=None
- matched_existing score=1.0 | Cesky Tesin — FK Bilovec | providers=sstats context=None odds=None
- matched_existing score=1.0 | Vratimov — Sumperk | providers=sstats context=None odds=None
- matched_existing score=0.8937 | Povltavska — Tj Jiskra Domazlice II | providers=sstats context=None odds=None
- matched_existing score=1.0 | Pardubice — Hradec Kralove | providers=sstats context=None odds=None
- matched_existing score=1.0 | FK Komarov — Milevsko | providers=sstats context=None odds=None
- matched_existing score=0.9732 | Tj Ligmet Milin — FK Krimice | providers=sstats context=None odds=None
- matched_existing score=0.9956 | Hlinsko — Brandys N. Labem | providers=sstats context=None odds=None
- matched_existing score=1.0 | FS Trebic — Velke Mezirici | providers=sstats context=None odds=None
- matched_existing score=1.0 | Sparta Brno — FC Chotebor | providers=sstats context=None odds=None
- matched_existing score=1.0 | Bulleen Lions — Melbourne Victory | providers=sstats context=None odds=None
- matched_existing score=1.0 | Zlin — Banik Ostrava | providers=sstats context=None odds=None
- matched_existing score=0.9732 | A. Lustenau II — Rothis | providers=sstats context=None odds=None
- matched_existing score=0.9264 | Bull — Rydalmere | providers=sstats context=None odds=None
- matched_existing score=0.942 | Zbrojovka Brno — Slavia Prague | providers=sstats context=None odds=None
- matched_existing score=1.0 | FC Spartak Trnava — Ruzomberok | providers=sstats context=None odds=None
- matched_existing score=1.0 | Broadbeach — St George Willawong | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | UQ — Newmarket | providers=odds_api_io context=None odds=1
- matched_existing score=1.0 | Harju JK Laagri — Kuressaare | providers=odds_api_io,sstats context=None odds=1
- appended score=0.5225 | Sutherland Sharks — Blacktown City | providers=odds_api_io context=None odds=1
- appended score=0.4582 | NWS Spirit — Sydney Olympic | providers=odds_api_io context=None odds=1
- matched_existing score=1.0 | Adelaide Utd. — Adelaide | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | Kingsley Westside — Inglewood Utd | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | Kursk — FK Ryazan | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | Orsha — Lida | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | Grei — Ready Fotball | providers=odds_api_io context=None odds=1
- matched_existing score=1.0 | Torshavn II — Fuglafjordur | providers=odds_api_io context=None odds=1
- matched_existing score=0.9352 | Slovan Liberec — Dukla Prague | providers=sstats context=None odds=None
- matched_existing score=1.0 | Pitea — Brommapojkarna | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | Spartak Moscow — CSKA Moscow | providers=odds_api_io context=None odds=1
- matched_existing score=1.0 | Mindil Aces — Port Darwin FC | providers=odds_api_io context=None odds=1
- matched_existing score=1.0 | Naivas — Mombasa United FC | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | 3K FC — Migori Youth FC | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | City Stars — Darajani Gogo FC | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | Rosengaard — Norrkoping | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | AIK — Djurgardens | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | IF Elfsborg — IFK Goteborg | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | Gamle Oslo FK — Ullern | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | Vindbjart — Haugesund 2 | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | Angelholms — Utsiktens | providers=odds_api_io,sstats context=None odds=1
- matched_existing score=1.0 | Tvaakers — Jonkopings Sodra | providers=odds_api_io,sstats context=None odds=1
