polarity,segment,count,calibration_delta_probability,roi_pct,hit_rate_pct,avg_predicted_probability
positive,prob:40-45,12,0.1629,104.37,58.33,0.4205
positive,family:h2h,23,0.0844,-31.86,43.48,0.3503
positive,league:secondary,15,0.0831,30.48,46.67,0.3835
positive,market:h2h:away,13,0.0324,-39.24,38.46,0.3522
positive,odds:1.70-2.04,18,0.0304,34.43,61.11,0.5807
negative,market:spreads:away,8,-0.3649,-100.0,0.0,0.3649
negative,prob:50-55,9,-0.3076,-75.48,22.22,0.5298
negative,market:dnb:home,9,-0.2651,-83.21,11.11,0.3762
negative,family:spreads,14,-0.222,12.16,14.29,0.3648
negative,league:other,35,-0.214,-11.19,20.0,0.414
negative,prob:35-40,22,-0.1473,-60.71,22.73,0.3746
negative,odds:2.75-3.49,16,-0.1429,-70.9,25.0,0.3929
negative,family:dnb,29,-0.1267,-22.14,24.14,0.368
negative,context:sstats_form,16,-0.1185,-75.92,25.0,0.3685
negative,context:ensemble,63,-0.1166,-16.51,30.16,0.4182
negative,prob:30-35,19,-0.1138,14.25,21.05,0.3243
negative,family:totals,28,-0.1086,6.04,39.29,0.5014
negative,odds:2.05-2.74,22,-0.1085,-28.16,36.36,0.4721
negative,bookmaker:unibet,39,-0.0996,-33.81,30.77,0.4073
negative,market:totals:under,23,-0.0875,5.64,39.13,0.4788
