match_key,sport,league,home,away,commence_time_utc,forecast_status,forecast_family,forecast_selection,forecast_line,forecast_odds,forecast_bookmaker,forecast_odds_source,forecast_model_probability_pct,forecast_adjusted_probability_pct,forecast_market_probability_pct,forecast_probability_gap_pct,forecast_edge_pct,forecast_ev_pct,forecast_confidence,forecast_value_tier,forecast_books_count,forecast_sources_count,forecast_model_mode,forecast_market_signal_derived,forecast_shadow_tracked,forecast_guard_reason,forecast_publication_score,forecast_expected_home,forecast_expected_away,forecast_total_xg,forecast_context_source,forecast_context_confidence,forecast_market_movement,forecast_quality_status,forecast_quality_score,forecast_quality_reasons,forecast_quality_calibration,forecast_reasons,forecast_analysis_points
soccer|johor darul takzim 2|kedah darul aman|2026-04-24,soccer,Malaysia - Liga A1,Johor Darul Takzim FC II,Kedah Darul Aman,2026-04-24T12:45:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|livyi bereh kyiv|podillya khmelnytskyi|2026-04-24,soccer,Ukraine - Persha Liga,FC Livyi Bereh Kyiv,FC Podillya Khmelnytskyi,2026-04-24T13:00:00+00:00,,totals,Меньше,2.75,,Bet365,odds_api_io,76.74,57.08,51.97,5.11,,,59.00,D,,,xg_total,False,False,,26.59,1.43,0.57,,sstats_form,,low_sample,,,,{},,
soccer|jaiyq uralsk|khan tengri|2026-04-24,soccer,Kazakhstan - Pervaya Liga,Khan Tengri FC,FC Jaiyq Uralsk,2026-04-24T13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|bidco united|posta rangers|2026-04-24,soccer,Kenya - Premier League,Posta Rangers FC,Bidco United,2026-04-24T13:00:00+00:00,,totals,Больше,2.5,,Bet365,odds_api_io,48.32,36.41,33.73,2.68,,,59.37,D,,,xg_total,False,False,,21.79,1.31,1.17,,ensemble,,low_sample,,,,{},,
soccer|balkan botevgrad|septemvri simitli|2026-04-24,soccer,Bulgaria - Treta Liga,FC Balkan Botevgrad,FK Septemvri Simitli,2026-04-24T13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|rajasthan united|sreenidi deccan|2026-04-24,soccer,India - I-League,Rajasthan United,Sreenidi Deccan FC,2026-04-24T13:00:00+00:00,,spreads,Rajasthan United,-0.25,,Bet365,odds_api_io,52.90,49.53,48.78,0.75,,,58.87,D,,,xg_spread,False,False,,19.95,1.45,1.16,,ensemble,,low_sample,,,,{},,
soccer|al karamah|homs al fidaa|2026-04-24,soccer,Syria - Premier League,Al-Karamah SC,Homs Al-Fidaa SC,2026-04-24T13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|al futuwa|al ittihad ahli of aleppo|2026-04-24,soccer,Syria - Premier League,Al Ittihad Ahli of Aleppo,Al Futuwa,2026-04-24T13:00:00+00:00,,spreads,Al Ittihad Ahli of Aleppo,-1.75,,Bet365,odds_api_io,53.53,52.79,52.63,0.16,,,53.09,D,,,market_simple_spreads,True,False,,16.91,,,,market_signal,,low_sample,,,,{},,
soccer|al jaish syr|taliya|2026-04-24,soccer,Syria - Premier League,Taliya SC,Al-Jaish SC (Syr),2026-04-24T13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|al horiyah|al sholla|2026-04-24,soccer,Syria - Premier League,Al-Sholla,Al-Horiyah,2026-04-24T13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|al wahda syr|omaya|2026-04-24,soccer,Syria - Premier League,Omaya SC,Al-Wahda SC (Syr),2026-04-24T13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|updf|ura|2026-04-24,soccer,Uganda - Premier League,Updf FC,URA FC,2026-04-24T13:00:00+00:00,,totals,Меньше,2.0,,Bet365,odds_api_io,49.58,48.84,48.68,0.16,,,53.09,D,,,market_simple_totals,True,False,,10.94,,,,market_signal,,low_sample,,,,{},,
soccer|hapoel kfar shalem|maccabi petah tikva|2026-04-24,soccer,Israel - National League,Maccabi Petah Tikva FC,Hapoel Kfar Shalem FC,2026-04-24T13:00:00+00:00,,btts,Обе забьют: Да,,,Bet365,odds_api_io,82.21,63.64,58.89,4.75,,,57.80,D,,,btts_poisson,False,False,,21.10,2.47,1.83,,sstats_form,,low_sample,,,,{},,
soccer|hapoel nof hagalil|hapoel ra anana|2026-04-24,soccer,Israel - National League,Hapoel Ra`anana FC,Hapoel Nof Hagalil FC,2026-04-24T13:00:00+00:00,,totals,Больше,2.5,,Bet365,odds_api_io,46.29,43.93,42.24,1.69,,,64.30,D,,,market_derived_totals,True,False,,19.12,,,,market_signal,,flat,,,,{},,
soccer|hapoel acre|maccabi kabilio jaffa|2026-04-24,soccer,Israel - National League,Maccabi Kabilio Jaffa,Hapoel Acre FC,2026-04-24T13:00:00+00:00,,spreads,Maccabi Kabilio Jaffa,-0.25,,Bet365,odds_api_io,59.44,56.34,55.56,0.78,,,56.91,D,,,xg_spread,False,False,,18.73,2.21,1.27,,sstats_form,,low_sample,,,,{},,
soccer|hapoel hadera|kafr qasim|2026-04-24,soccer,Israel - National League,FC Kafr Qasim,Hapoel Hadera FC,2026-04-24T13:00:00+00:00,,dnb,Hapoel Hadera FC (0),,,Bet365,odds_api_io,49.27,38.30,35.49,2.81,,,57.90,D,,,h2h_ensemble,False,False,,19.88,1.29,1.26,,sstats_form,,low_sample,,,,{},,
soccer|hapoel afula|ironi modiin|2026-04-24,soccer,Israel - National League,Hapoel Afula FC,Ironi Modiin,2026-04-24T13:00:00+00:00,,btts,Обе забьют: Нет,,,Unibet,odds_api_io,77.83,54.68,48.07,6.61,,,67.88,D,,,btts_poisson,False,False,,35.38,0.72,0.61,,sstats_form,,flat,,,,{},,
soccer|kelantan real warriors|selangor|2026-04-24,soccer,Malaysia - Super League,Kelantan The Real Warriors FC,Selangor FC,2026-04-24T13:00:00+00:00,,spreads,Kelantan The Real Warriors FC,1.75,,Bet365,odds_api_io,50.90,50.16,50.00,0.16,,,53.09,D,,,market_simple_spreads,True,False,,14.63,,,,market_signal,,low_sample,,,,{},,
soccer|kagera sugar|songea united|2026-04-24,soccer,Tanzania - Championship League,Songea United,Kagera Sugar,2026-04-24T13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|as kigali|gasogi united|2026-04-24,soccer,Rwanda - Premier League,AS Kigali,Gasogi United,2026-04-24T13:00:00+00:00,,totals,Больше,2.5,,Bet365,odds_api_io,37.70,35.26,33.50,1.76,,,64.36,D,,,market_simple_totals,True,False,,30.33,,,,market_signal,,flat,,,,{},,
soccer|ascoli 1898|pescara|2026-04-24,soccer,Italy - Primavera 2,Ascoli Calcio 1898 FC,Pescara Calcio,2026-04-24T13:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|al arabi uae|dibba al hisn|2026-04-24,soccer,United Arab Emirates - First Division,Dibba Al-Hisn SC,AL Arabi (UAE),2026-04-24T13:55:00+00:00,,totals,Больше,2.5,,Bet365,odds_api_io,57.50,48.93,46.52,2.41,,,66.00,D,,,xg_total,False,False,,23.23,2.20,0.79,,sstats_form,,flat,,,,{},,
soccer|emirates|masfoot sports|2026-04-24,soccer,United Arab Emirates - First Division,Emirates Club,Masfoot Sports Club,2026-04-24T13:55:00+00:00,,totals,Больше,2.5,,Bet365,odds_api_io,62.55,59.75,57.75,2.00,,,64.38,D,,,market_derived_totals,True,False,,20.72,,,,market_signal,,flat,,,,{},,
soccer|al dhaid|majd|2026-04-24,soccer,United Arab Emirates - First Division,Majd FC,Al-Dhaid,2026-04-24T13:55:00+00:00,,spreads,Al-Dhaid,-1.5,,Bet365,odds_api_io,50.90,50.16,50.00,0.16,,,53.09,D,,,market_simple_spreads,True,False,,14.63,,,,market_signal,,low_sample,,,,{},,
soccer|al hamriyah|al jazira al hamra|2026-04-24,soccer,United Arab Emirates - First Division,AL Jazira AL Hamra,Al-Hamriyah,2026-04-24T13:55:00+00:00,,dnb,Al-Hamriyah (0),,,Bet365,odds_api_io,79.98,62.16,57.25,4.91,,,64.31,D,,,h2h_ensemble,False,False,,34.45,0.72,2.87,,sstats_form,,flat,,,,{},,
soccer|al ittifaq|fujairah|2026-04-24,soccer,United Arab Emirates - First Division,Fujairah FC,AL Ittifaq,2026-04-24T13:55:00+00:00,,totals,Меньше,2.5,,Bet365,odds_api_io,39.45,38.51,38.25,0.26,,,65.02,D,,,xg_total,False,False,,16.57,1.61,1.52,,sstats_form,,flat,,,,{},,
soccer|als omonia|meap pera choriou nisou|2026-04-24,soccer,Cyprus - 2nd Division,MEAP Pera Choriou Nisou,Als Omonia,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|alianza 2|plaza amador|2026-04-24,soccer,Panama - Liga Prom,CD Plaza Amador,Alianza FC II,2026-04-24T14:00:00+00:00,,totals,Меньше,3.25,,Bet365,odds_api_io,85.55,58.43,51.32,7.11,,,62.34,D,,,xg_total,False,False,,33.06,1.36,0.65,,sstats_form,,low_sample,,,,{},,
soccer|cs agigea|voluntari 2|2026-04-24,soccer,Romania - Liga 3,SC FC Voluntari II,CS Agigea,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|acs recolta gheorghe doja|fotbal fcsb 2|2026-04-24,soccer,Romania - Liga 3,Fotbal Club FCSB 2,ACS Recolta Gheorghe Doja,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|pfc spartak pleven|yantra gabrovo|2026-04-24,soccer,Bulgaria - Vtora Liga,FC Yantra Gabrovo,PFC Spartak Pleven,2026-04-24T14:00:00+00:00,,totals,Меньше,2.0,,Bet365,odds_api_io,60.29,50.01,47.37,2.64,,,57.81,D,,,xg_total,False,False,,19.06,0.77,1.51,,sstats_form,,low_sample,,,,{},,
soccer|acs bacau 2|cs gheorgheni|2026-04-24,soccer,Romania - Liga 3,ACS FC Bacau II,CS Gheorgheni,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|acs petrolul 52 2|csm ramnicu sarat|2026-04-24,soccer,Romania - Liga 3,Csm Ramnicu Sarat,ACS Petrolul 52 2,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|1919 dacia unirea braila|asc otelul galati 2|2026-04-24,soccer,Romania - Liga 3,ASC Otelul Galati II,AFC 1919 Dacia Unirea Braila,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|csa axiopolis sport cernavoda|dinamo bucuresti 1948 2|2026-04-24,soccer,Romania - Liga 3,FC Dinamo Bucuresti 1948 2,CSA Axiopolis Sport Cernavoda,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|ayvalikgucu belediyespor|karsiyaka|2026-04-24,soccer,"Turkiye Amateur - 3. Lig, Group 4",Ayvalikgucu Belediyespor,Karsiyaka,2026-04-24T14:00:00+00:00,,totals,Больше,2.5,,Bet365,odds_api_io,78.82,49.50,41.79,7.71,,,62.62,D,,,xg_total,False,False,,38.49,2.13,2.05,,sstats_form,,low_sample,,,,{},,
soccer|karmiotissa|paeek kyrenia|2026-04-24,soccer,Cyprus - 2nd Division,PAEEK Kyrenia,Karmiotissa FC,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|csm alexandria|scm dunarea giurgiu|2026-04-24,soccer,Romania - Liga 3,CSM Alexandria,Scm Dunarea Giurgiu,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|acs axi arena|csl nanov|2026-04-24,soccer,Romania - Liga 3,Csl Nanov,ACS Axi Arena,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|acs aro muscelul c lung muscel|acs medias 2022|2026-04-24,soccer,Romania - Liga 3,ACS Medias 2022,ACS Aro Muscelul C-Lung Muscel,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|acs progresul pecica|csc ghiroda si giarmata vii|2026-04-24,soccer,Romania - Liga 3,CSC Ghiroda SI Giarmata Vii,ACS Progresul Pecica,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|ajman|al dhafra ssc|2026-04-24,soccer,United Arab Emirates - Arabian Gulf League,Al Dhafra SSC,Ajman Club,2026-04-24T14:00:00+00:00,,dnb,Al Dhafra SSC (0),,,Bet365,odds_api_io,57.92,42.20,37.85,4.35,,,64.86,D,,,h2h_ensemble,False,False,,38.05,1.41,1.02,,sstats_form,,flat,,,,{},,
soccer|al wasl|dibba al fujairah|2026-04-24,soccer,United Arab Emirates - Arabian Gulf League,Al Wasl FC,Dibba Al Fujairah,2026-04-24T14:00:00+00:00,,btts,Обе забьют: Да,,,Unibet,odds_api_io,73.24,54.29,48.91,5.38,,,67.33,D,,,btts_poisson,False,False,,30.90,1.50,2.08,,sstats_form,,flat,,,,{},,
soccer|acs sepsi osk sfantu gheorghe 2|cetate suceava|2026-04-24,soccer,Romania - Liga 3,ACS Sepsi Osk Sfantu Gheorghe 2,FC Cetate Suceava,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|cs blejoi|viitorul onesti|2026-04-24,soccer,Romania - Liga 3,CS Blejoi,AFC Viitorul Onesti,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|cs vulturii farcasesti|csm cetatea turnu magurele|2026-04-24,soccer,Romania - Liga 3,CS Vulturii Farcasesti,CSM Cetatea Turnu Magurele,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|acs lps hd clinceni|scm ramnicu valcea|2026-04-24,soccer,Romania - Liga 3,Scm Ramnicu Valcea,ACS LPS HD Clinceni,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|acs viitorul arad|scm zalau|2026-04-24,soccer,Romania - Liga 3,Scm Zalau,ACS Viitorul Arad,2026-04-24T14:00:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soccer|csm unirea alba iulia|sanatatea cluj|2026-04-24,soccer,Romania - Liga 3,Sanatatea Cluj,CSM Unirea Alba Iulia,2026-04-24T14:00:00+00:00,,totals,Меньше,3.0,,Bet365,odds_api_io,72.57,53.07,48.03,5.04,,,58.62,D,,,xg_total,False,False,,26.48,1.33,1.31,,sstats_form,,low_sample,,,,{},,
soccer|neftchi fargona|xorazm urganch|2026-04-24,soccer,Uzbekistan - Superliga,Xorazm Fk Urganch,FK Neftchi Fargona,2026-04-24T14:00:00+00:00,,totals,Больше,2.5,,Bet365,odds_api_io,71.78,50.32,44.74,5.58,,,61.62,D,,,xg_total,False,False,,29.32,2.02,1.70,,sstats_form,,low_sample,,,,{},,
soccer|kokand 1912|qizilqum zarafshon|2026-04-24,soccer,Uzbekistan - Superliga,Qizilqum Zarafshon,FK Kokand 1912,2026-04-24T14:00:00+00:00,,dnb,FK Kokand 1912 (0),,,Bet365,odds_api_io,65.47,51.99,48.53,3.46,,,57.86,D,,,h2h_ensemble,False,False,,18.96,0.79,1.50,,sstats_form,,low_sample,,,,{},,
soccer|el gouna|pharco|2026-04-24,soccer,Egypt - Premier League,Pharco FC,El Gouna FC,2026-04-24T14:00:00+00:00,,totals,Меньше,1.75,,Bet365,odds_api_io,61.09,50.17,47.37,2.80,,,57.89,D,,,xg_total,False,False,,21.92,0.87,0.88,,sstats_form,,low_sample,,,,{},,
