report_date,prediction_id,fingerprint,published_at,published_at_local,published_date_local,telegram_sent,tracking_mode,tracking_reason,shadow_tracked,match_key,sport_key,league_name,home_team,away_team,commence_time_utc,commence_time_local,family,selection,selection_key,team_side,point,odds,stake_amount,status,result,is_hit,pnl,roi_pct,final_score,final_home_goals,final_away_goals,settled_at,settlement_source,settlement_note,settlement_result_orientation,settlement_attempt_at,settlement_attempt_reason,settlement_grade_issue,settlement_match_failure,settlement_match_threshold,settlement_best_score,settlement_best_source,settlement_best_status,settlement_best_event,settlement_best_scoreline,settlement_matched_via,settlement_manual_note,model_probability_pct,adjusted_probability_pct,market_probability_pct,edge_pct,ev_pct,confidence,books_count,sources_count,model_mode,publication_score,expected_home,expected_away,total_xg,selected_bookmaker,selected_source,context_source,context_sources,context_confidence,context_mode,market_movement,best_vs_consensus_edge_pct,consensus_dispersion_pct,match_tier,quality_status,quality_score,quality_reasons
2026-04-23,soccer|athletic sjdr mg|internacional rs|2026-04-22|dnb|home|||2026-04-22T23:30:00+00:00,soccer|athletic sjdr mg|internacional rs|2026-04-22|dnb|home|||2026-04-22T23:30:00+00:00,2026-04-22T20:20:52.561373+00:00,2026-04-22T23:20:52.561373+03:00,2026-04-22,True,,,False,soccer|athletic sjdr mg|internacional rs|2026-04-22,soccer,Brazil - Copa do Brasil,Athletic Club Sjdr MG,SC Internacional RS,2026-04-22T23:30:00+00:00,2026-04-23T02:30:00+03:00,dnb,Athletic Club Sjdr MG (0),home,,,3.75,38.0,lost,lost,False,-38.0,-100.0,1:2,1.0,2.0,2026-04-23T07:06:04.064476+00:00,api_football,Athletic Club Sjdr MG 1:2 SC Internacional RS,direct,2026-04-23T07:06:04.064476+00:00,settled,,,,118.24,api_football,FT,Athletic Club vs Internacional,1:2,,,49.77,34.97,28.12,6.85,31.128,67.91,2,1,h2h_ensemble,74.512,1.097,1.179,2.276,Bet365,odds_api_io,ensemble,,67.14,ensemble,insufficient_history,13.238,7.232,mid,passed_quality,86.946,
2026-04-23,soccer|mazatlan|toluca|2026-04-23|totals|under||2.5|2026-04-23T01:00:00+00:00,soccer|mazatlan|toluca|2026-04-23|totals|under||2.5|2026-04-23T01:00:00+00:00,2026-04-22T20:20:52.561516+00:00,2026-04-22T23:20:52.561516+03:00,2026-04-22,True,,,False,soccer|mazatlan|toluca|2026-04-23,soccer,"Mexico - Liga MX, Clausura",Mazatlan FC,Deportivo Toluca FC,2026-04-23T01:00:00+00:00,2026-04-23T04:00:00+03:00,totals,Меньше,under,,2.5,2.875,56.0,lost,lost,False,-56.0,-100.0,4:3,4.0,3.0,2026-04-23T07:06:04.064476+00:00,api_football,Mazatlan FC 4:3 Deportivo Toluca FC,direct,2026-04-23T07:06:04.064476+00:00,settled,,,,106.0,api_football,FT,Mazatlán vs Toluca,4:3,,,56.51,45.57,34.58,10.986,31.0,68.91,2,1,xg_total,65.395,0.802,1.615,2.417,Bet365,odds_api_io,ensemble,,61.32,ensemble,insufficient_history,6.222,4.433,mid,passed_quality,90.423,
2026-04-23,soccer|pyunik yerevan|urartu yerevan|2026-04-23|h2h|away|||2026-04-23T14:00:00+00:00,soccer|pyunik yerevan|urartu yerevan|2026-04-23|h2h|away|||2026-04-23T14:00:00+00:00,2026-04-23T07:11:46.001446+00:00,2026-04-23T10:11:46.001446+03:00,2026-04-23,True,,,False,soccer|pyunik yerevan|urartu yerevan|2026-04-23,soccer,Armenia - Premier League,FC Pyunik Yerevan,FC Urartu Yerevan,2026-04-23T14:00:00+00:00,2026-04-23T17:00:00+03:00,h2h,FC Urartu Yerevan,away,,,4.1,27.0,lost,lost,False,-27.0,-100.0,2:1,2.0,1.0,2026-04-24T07:08:30.191997+00:00,api_football,FC Pyunik Yerevan 2:1 FC Urartu Yerevan,direct,2026-04-24T07:08:30.191997+00:00,settled,,,,118.24,api_football,FT,Pyunik Yerevan vs FC Urartu,2:1,,,46.73,31.87,22.08,9.792,30.686,73.95,2,1,soccer_context,74.24,0.887,1.648,2.535,Unibet,odds_api_io,ensemble,,75.17,team_form,insufficient_history,1.28,0.61,mid,passed_quality_historical_relief,88.1,"[""quality_historical_guard_relief""]"
2026-04-23,soccer|al ittihad al sakandary|al mokawloon al arab|2026-04-23|h2h|away|||2026-04-23T15:00:00+00:00,soccer|al ittihad al sakandary|al mokawloon al arab|2026-04-23|h2h|away|||2026-04-23T15:00:00+00:00,2026-04-23T13:26:46.477978+00:00,2026-04-23T16:26:46.477978+03:00,2026-04-23,True,,,False,soccer|al ittihad al sakandary|al mokawloon al arab|2026-04-23,soccer,Egypt - Premier League,Al Mokawloon Al Arab,Al Ittihad Al Sakandary,2026-04-23T15:00:00+00:00,2026-04-23T18:00:00+03:00,h2h,Al Ittihad Al Sakandary,away,,,3.0,25.0,lost,lost,False,-25.0,-100.0,0:0,0.0,0.0,2026-04-24T07:08:30.191997+00:00,api_football,Al Mokawloon Al Arab 0:0 Al Ittihad Al Sakandary,direct,2026-04-24T07:08:30.191997+00:00,settled,,,,104.52,api_football,FT,El Mokawloon vs Al Ittihad,0:0,,,48.91,39.6,32.2,7.405,18.81,71.09,2,1,soccer_context,51.948,0.701,1.38,2.081,Unibet,odds_api_io,api_football,,69.0,,insufficient_history,7.311,4.762,mid,passed_quality,84.907,
2026-04-23,soccer|maardu linnameeskond|tallinn|2026-04-23|totals|under||2.5|2026-04-23T16:00:00+00:00,soccer|maardu linnameeskond|tallinn|2026-04-23|totals|under||2.5|2026-04-23T16:00:00+00:00,2026-04-23T15:30:04.068215+00:00,2026-04-23T18:30:04.068215+03:00,2026-04-23,True,,,False,soccer|maardu linnameeskond|tallinn|2026-04-23,soccer,Estonia - Esiliiga,Maardu Linnameeskond,FC Tallinn,2026-04-23T16:00:00+00:00,2026-04-23T19:00:00+03:00,totals,Меньше,under,,2.5,3.75,21.0,won,won,True,57.75,275.0,1:1,1.0,1.0,2026-04-24T07:08:30.191997+00:00,api_football,Maardu Linnameeskond 1:1 FC Tallinn,direct,2026-04-24T07:08:30.191997+00:00,settled,,,,116.94,api_football,FT,Maardu vs FC Tallinn,1:1,,,65.58,40.05,27.12,12.925,50.178,68.93,2,1,xg_total,92.034,1.371,0.706,2.077,Bet365,odds_api_io,sstats,,68.0,,insufficient_history,12.205,6.667,mid,passed_quality,88.882,
2026-04-23,soccer|levante|sevilla|2026-04-23|btts|yes|||2026-04-23T17:00:00+00:00,soccer|levante|sevilla|2026-04-23|btts|yes|||2026-04-23T17:00:00+00:00,2026-04-23T16:12:36.417819+00:00,2026-04-23T19:12:36.417819+03:00,2026-04-23,True,,,False,soccer|levante|sevilla|2026-04-23,soccer,Spain - LaLiga,Levante UD,Sevilla FC,2026-04-23T17:00:00+00:00,2026-04-23T20:00:00+03:00,btts,Обе забьют: Да,yes,,,1.909,10.0,lost,lost,False,-10.0,-100.0,2:0,2.0,0.0,2026-04-24T07:08:30.191997+00:00,api_football,Levante UD 2:0 Sevilla FC,direct,2026-04-24T07:08:30.191997+00:00,settled,,,,106.0,api_football,FT,Levante vs Sevilla,2:0,,,61.7,52.96,50.94,2.015,1.093,72.29,2,1,btts_poisson,31.752,1.565,1.32,2.885,Bet365,odds_api_io,ensemble,,76.0,ensemble,flat,3.245,3.482,mid,passed_quality_last_resort,61.382,"[""quality_last_resort_publish""]"
2026-04-23,soccer|pyramids|zamalek|2026-04-23|totals|under||2.5|2026-04-23T18:00:00+00:00,soccer|pyramids|zamalek|2026-04-23|totals|under||2.5|2026-04-23T18:00:00+00:00,2026-04-23T16:51:53.647975+00:00,2026-04-23T19:51:53.647975+03:00,2026-04-23,True,,,False,soccer|pyramids|zamalek|2026-04-23,soccer,Egypt - Premier League,Zamalek SC,Pyramids FC,2026-04-23T18:00:00+00:00,2026-04-23T21:00:00+03:00,totals,Меньше,under,,2.5,1.571,10.0,won,won,True,5.71,57.1,1:0,1.0,0.0,2026-04-24T07:08:30.191997+00:00,api_football,Zamalek SC 1:0 Pyramids FC,direct,2026-04-24T07:08:30.191997+00:00,settled,,,,106.0,api_football,FT,Zamalek SC vs Pyramids FC,1:0,,,73.89,66.03,60.49,5.544,3.733,63.15,2,1,xg_total,31.196,0.873,0.896,1.769,Bet365,odds_api_io,ensemble,,51.71,ensemble,flat,2.312,3.013,mid,passed_quality,69.544,
2026-04-23,soccer|freiburg|vfb stuttgart|2026-04-23|dnb|away|||2026-04-23T18:45:00+00:00,soccer|freiburg|vfb stuttgart|2026-04-23|dnb|away|||2026-04-23T18:45:00+00:00,2026-04-23T13:50:56.342043+00:00,2026-04-23T16:50:56.342043+03:00,2026-04-23,True,,,False,soccer|freiburg|vfb stuttgart|2026-04-23,soccer,Germany - DFB Pokal,VfB Stuttgart,SC Freiburg,2026-04-23T18:45:00+00:00,2026-04-23T21:45:00+03:00,dnb,SC Freiburg (0),away,,,3.75,17.0,lost,lost,False,-17.0,-100.0,2:1,2.0,1.0,2026-04-24T07:08:30.191997+00:00,api_football,VfB Stuttgart 2:1 SC Freiburg,direct,2026-04-24T07:08:30.191997+00:00,settled,,,,106.0,api_football,AET,VfB Stuttgart vs SC Freiburg,2:1,,,50.35,37.81,27.78,10.029,41.775,71.45,2,1,h2h_ensemble,78.134,2.506,2.375,4.88,Bet365,odds_api_io,ensemble,,72.34,bzzoiro_prediction,flat,12.205,6.667,mid,passed_quality,88.0,
2026-04-23,soccer|pec zwolle|psv eindhoven|2026-04-23|totals|over||2.5|2026-04-23T19:00:00+00:00,soccer|pec zwolle|psv eindhoven|2026-04-23|totals|over||2.5|2026-04-23T19:00:00+00:00,2026-04-23T15:30:04.068339+00:00,2026-04-23T18:30:04.068339+03:00,2026-04-23,True,,,False,soccer|pec zwolle|psv eindhoven|2026-04-23,soccer,Netherlands - Eredivisie,PSV Eindhoven,PEC Zwolle,2026-04-23T19:00:00+00:00,2026-04-23T22:00:00+03:00,totals,Больше,over,,2.5,2.25,21.0,won,won,True,26.25,125.0,6:1,6.0,1.0,2026-04-24T07:08:30.191997+00:00,football_data,PSV Eindhoven 6:1 PEC Zwolle,direct,2026-04-24T07:08:30.191997+00:00,settled,,,,118.24,football_data,FINISHED,PSV vs PEC Zwolle,6:1,,,73.52,65.65,59.36,6.29,47.707,71.42,2,1,xg_total,87.013,2.225,1.39,3.615,Unibet,odds_api_io,ensemble,,76.0,ensemble,insufficient_history,43.057,37.389,mid,passed_quality,74.0,
2026-04-23,soccer|portmore united|spanish town police|2026-04-23|btts|no|||2026-04-23T20:30:00+00:00,soccer|portmore united|spanish town police|2026-04-23|btts|no|||2026-04-23T20:30:00+00:00,2026-04-23T16:51:53.647837+00:00,2026-04-23T19:51:53.647837+03:00,2026-04-23,True,,,False,soccer|portmore united|spanish town police|2026-04-23,soccer,Jamaica - Premier League,Spanish Town Police FC,Portmore United,2026-04-23T20:30:00+00:00,2026-04-23T23:30:00+03:00,btts,Обе забьют: Нет,no,,,1.7,17.0,won,won,True,11.9,70.0,0:1,0.0,1.0,2026-04-24T07:08:30.191997+00:00,api_football,Spanish Town Police FC 0:1 Portmore United,direct,2026-04-24T07:08:30.191997+00:00,settled,,,,106.0,api_football,FT,Spanish Town Police vs Portmore United,0:1,,,88.41,64.89,54.05,10.837,10.315,63.68,1,1,btts_poisson,41.854,0.171,2.087,2.258,Unibet,odds_api_io,sstats,,68.0,,low_sample,0.0,0.0,mid,passed_quality,78.033,
