match_key,kickoff_utc,league_name,home_team,away_team,odds_sources_count,odds_sources,price_confirmations,books_count,context_sources_count,context_sources,has_odds,has_context,provider_xg_source,has_provider_xg,ready_for_model,ready_for_publish,tier_a_coverage_ready,tier_b_coverage_ready,tier_b_watch_only,need_price_confirmations,need_odds_sources,need_context_sources,tier_b_need_price_confirmations,tier_b_need_odds_sources,tier_b_need_context_sources,missing,tier_a_missing,tier_b_missing
2026-08-28|atletico union santa fe|sarmiento,2026-08-28T22:00:00+00:00,Liga Profesional de Fútbol,Club Atlético Unión de Santa Fe,Sarmiento,2,odds_api_io|sstats,106,7,2,bzzoiro|sstats,True,True,glicko_xg,True,True,True,True,True,True,0,0,0,0,0,0,,,
soccer|goias|sao bernardo|2026-08-28,2026-08-28T22:30:00+00:00,Brasileirão Serie B,Goiás,São Bernardo,2,odds_api_io|sstats,107,9,2,bzzoiro|sstats,True,True,glicko_xg,True,True,True,True,True,True,0,0,0,0,0,0,,,
2026-08-28|charlotte independence|av alta,2026-08-28T23:00:00+00:00,American USL League One,Charlotte Independence,AV Alta FC,1,odds_api_io,10,10,1,sstats,True,True,last_games_form_goals,True,True,False,False,False,True,0,1,1,0,1,1,independent_odds_sources|context_sources,independent_odds_sources|context_sources,independent_odds_sources|context_sources
soccer|gremio novorizontino|sport recife|2026-08-28,2026-08-28T23:30:00+00:00,Brasileirão Serie B,Grêmio Novorizontino,Sport Recife,2,odds_api_io|sstats,9,9,2,bzzoiro|sstats,True,True,glicko_xg,True,True,True,True,True,True,0,0,0,0,0,0,,,
soccer|athletic|nautico|2026-08-28,2026-08-28T23:30:00+00:00,Brasileirão Serie B,Náutico,Athletic Club,2,odds_api_io|sstats,9,9,2,bzzoiro|sstats,True,True,glicko_xg,True,True,True,True,True,True,0,0,0,0,0,0,,,
2026-08-29|monaro panthers u23|canberra juventus u23,2026-08-29T00:00:00+00:00,"Australia - U23 Capital NPL, Playoffs",Monaro Panthers FC U23,Canberra Juventus FC U23,1,odds_api_io,10,10,1,sstats,True,True,,False,True,False,False,False,True,0,1,1,0,1,1,independent_odds_sources|context_sources,independent_odds_sources|context_sources,independent_odds_sources|context_sources
soccer|cd_tecnico_universitario|cd_cuenca|2026-08-29,2026-08-29T00:00:00+00:00,Ecuador - Serie A,CD Tecnico Universitario,CD Cuenca,1,odds_api_io,10,10,1,sstats,True,True,,False,True,False,False,False,True,0,1,1,0,1,1,independent_odds_sources|context_sources,independent_odds_sources|context_sources,independent_odds_sources|context_sources
2026-08-29|inca|cacahuatique,2026-08-29T00:00:00+00:00,"El Salvador - Primera Division, Apertura",CD Inca,CD. Cacahuatique,1,odds_api_io,10,10,1,sstats,True,True,last_games_form_goals,True,True,False,False,False,True,0,1,1,0,1,1,independent_odds_sources|context_sources,independent_odds_sources|context_sources,independent_odds_sources|context_sources
soccer|deportivo_toluca_fc|club_leon|2026-08-29,2026-08-29T00:00:00+00:00,"Mexico - Liga MX, Women, Apertura",Deportivo Toluca FC,Club Leon,1,odds_api_io,10,10,1,sstats,True,True,,False,True,False,False,False,True,0,1,1,0,1,1,independent_odds_sources|context_sources,independent_odds_sources|context_sources,independent_odds_sources|context_sources
2026-08-29|chapulineros oaxaca|jaguares,2026-08-29T00:00:00+00:00,"Mexico - Liga Primera Premier, Group Stage",Chapulineros de Oaxaca,Jaguares FC,1,odds_api_io,9,9,0,,True,False,,False,False,False,False,False,True,0,1,2,0,1,2,independent_odds_sources|context_sources,independent_odds_sources|context_sources,independent_odds_sources|context_sources
